timestamp, system, entity , value (s/m)
1625574474.402, lauv-roald, SmartX, 1.586
1625574474.901, lauv-roald, SmartX, 1.560
1625574475.401, lauv-roald, SmartX, 1.641
1625574475.901, lauv-roald, SmartX, 1.606
1625574476.401, lauv-roald, SmartX, 1.605
1625574476.901, lauv-roald, SmartX, 1.611
1625574477.401, lauv-roald, SmartX, 1.658
1625574477.901, lauv-roald, SmartX, 1.640
1625574478.401, lauv-roald, SmartX, 1.626
1625574478.901, lauv-roald, SmartX, 1.633
1625574479.401, lauv-roald, SmartX, 1.582
1625574479.901, lauv-roald, SmartX, 1.611
1625574480.401, lauv-roald, SmartX, 1.620
1625574480.901, lauv-roald, SmartX, 1.620
1625574481.401, lauv-roald, SmartX, 1.548
1625574481.901, lauv-roald, SmartX, 1.459
1625574482.401, lauv-roald, SmartX, 1.346
1625574482.901, lauv-roald, SmartX, 1.232
1625574483.401, lauv-roald, SmartX, 1.300
1625574483.901, lauv-roald, SmartX, 1.497
1625574484.401, lauv-roald, SmartX, 1.562
1625574484.901, lauv-roald, SmartX, 1.606
1625574485.401, lauv-roald, SmartX, 1.625
1625574485.901, lauv-roald, SmartX, 1.652
1625574486.401, lauv-roald, SmartX, 1.667
1625574486.901, lauv-roald, SmartX, 1.656
1625574487.400, lauv-roald, SmartX, 1.653
1625574487.901, lauv-roald, SmartX, 1.642
1625574488.400, lauv-roald, SmartX, 1.580
1625574488.901, lauv-roald, SmartX, 1.565
1625574489.400, lauv-roald, SmartX, 1.553
1625574489.900, lauv-roald, SmartX, 1.525
1625574490.400, lauv-roald, SmartX, 1.514
1625574490.900, lauv-roald, SmartX, 1.549
1625574491.400, lauv-roald, SmartX, 1.602
1625574491.900, lauv-roald, SmartX, 1.563
1625574492.400, lauv-roald, SmartX, 1.531
1625574492.900, lauv-roald, SmartX, 1.512
1625574493.400, lauv-roald, SmartX, 1.485
1625574493.900, lauv-roald, SmartX, 1.510
1625574494.400, lauv-roald, SmartX, 1.581
1625574494.900, lauv-roald, SmartX, 1.600
1625574495.400, lauv-roald, SmartX, 1.733
