timestamp, system, entity , value (m)
1625574474.402, lauv-roald, SmartX, 0.209
1625574474.463, lauv-roald, DVL, 0.000
1625574474.863, lauv-roald, DVL, 0.000
1625574474.902, lauv-roald, SmartX, 0.109
1625574475.060, lauv-roald, DVL, 0.000
1625574475.263, lauv-roald, DVL, 0.000
1625574475.402, lauv-roald, SmartX, 0.199
1625574475.664, lauv-roald, DVL, 0.000
1625574475.863, lauv-roald, DVL, 0.001
1625574475.901, lauv-roald, SmartX, 0.199
1625574476.065, lauv-roald, DVL, 0.013
1625574476.401, lauv-roald, SmartX, 0.179
1625574476.463, lauv-roald, DVL, 0.017
1625574476.661, lauv-roald, DVL, 0.009
1625574476.862, lauv-roald, DVL, 0.000
1625574476.901, lauv-roald, SmartX, 0.159
1625574477.263, lauv-roald, DVL, 0.000
1625574477.401, lauv-roald, SmartX, 0.129
1625574477.462, lauv-roald, DVL, 0.000
1625574477.663, lauv-roald, DVL, 0.000
1625574477.901, lauv-roald, SmartX, 0.179
1625574478.063, lauv-roald, DVL, 0.000
1625574478.260, lauv-roald, DVL, 0.000
1625574478.401, lauv-roald, SmartX, 0.119
1625574478.462, lauv-roald, DVL, 0.000
1625574478.855, lauv-roald, DVL, 0.000
1625574478.901, lauv-roald, SmartX, 0.209
1625574479.058, lauv-roald, DVL, 0.000
1625574479.257, lauv-roald, DVL, 0.007
1625574479.401, lauv-roald, SmartX, 0.239
1625574479.660, lauv-roald, DVL, 0.016
1625574479.860, lauv-roald, DVL, 0.027
1625574479.901, lauv-roald, SmartX, 0.229
1625574480.064, lauv-roald, DVL, 0.020
1625574480.401, lauv-roald, SmartX, 0.259
1625574480.452, lauv-roald, DVL, 0.027
1625574480.647, lauv-roald, DVL, 0.030
1625574480.852, lauv-roald, DVL, 0.012
1625574480.901, lauv-roald, SmartX, 0.279
1625574481.260, lauv-roald, DVL, 0.020
1625574481.401, lauv-roald, SmartX, 0.279
1625574481.463, lauv-roald, DVL, 0.030
1625574481.660, lauv-roald, DVL, 0.039
1625574481.901, lauv-roald, SmartX, 0.298
1625574482.062, lauv-roald, DVL, 0.028
1625574482.265, lauv-roald, DVL, 0.040
1625574482.401, lauv-roald, SmartX, 0.308
1625574482.463, lauv-roald, DVL, 0.040
1625574482.865, lauv-roald, DVL, 0.053
1625574482.901, lauv-roald, SmartX, 0.338
1625574483.063, lauv-roald, DVL, 0.064
1625574483.262, lauv-roald, DVL, 0.077
1625574483.401, lauv-roald, SmartX, 0.378
1625574483.662, lauv-roald, DVL, 0.070
1625574483.845, lauv-roald, DVL, 0.074
1625574483.901, lauv-roald, SmartX, 0.338
1625574484.047, lauv-roald, DVL, 0.048
1625574484.401, lauv-roald, SmartX, 0.368
1625574484.456, lauv-roald, DVL, 0.070
1625574484.664, lauv-roald, DVL, 0.081
1625574484.861, lauv-roald, DVL, 0.062
1625574484.901, lauv-roald, SmartX, 0.318
1625574485.262, lauv-roald, DVL, 0.054
1625574485.401, lauv-roald, SmartX, 0.298
1625574485.464, lauv-roald, DVL, 0.034
1625574485.663, lauv-roald, DVL, 0.030
1625574485.901, lauv-roald, SmartX, 0.318
1625574486.065, lauv-roald, DVL, 0.052
1625574486.263, lauv-roald, DVL, 0.029
1625574486.401, lauv-roald, SmartX, 0.269
1625574486.464, lauv-roald, DVL, 0.030
1625574486.862, lauv-roald, DVL, 0.022
1625574486.901, lauv-roald, SmartX, 0.348
1625574487.062, lauv-roald, DVL, 0.025
1625574487.262, lauv-roald, DVL, 0.037
1625574487.401, lauv-roald, SmartX, 0.279
1625574487.662, lauv-roald, DVL, 0.022
1625574487.861, lauv-roald, DVL, 0.000
1625574487.901, lauv-roald, SmartX, 0.289
1625574488.059, lauv-roald, DVL, 0.003
1625574488.400, lauv-roald, SmartX, 0.269
1625574488.463, lauv-roald, DVL, 0.041
1625574488.662, lauv-roald, DVL, 0.021
1625574488.863, lauv-roald, DVL, 0.008
1625574488.901, lauv-roald, SmartX, 0.328
1625574489.264, lauv-roald, DVL, 0.014
1625574489.401, lauv-roald, SmartX, 0.289
1625574489.463, lauv-roald, DVL, 0.013
1625574489.664, lauv-roald, DVL, 0.028
