timestamp, system, entity , x (m/s), y (m/s), z (m/s)
1625576914.061, lauv-roald, Navigation, -0.03107730, -0.10270399, 0.00000000
1625576925.061, lauv-roald, Navigation, -0.03771971, -0.10108299, 0.00000000
1625576935.062, lauv-roald, Navigation, -0.04293755, -0.10005380, 0.00000000
1625576945.062, lauv-roald, Navigation, -0.04546350, -0.10095137, 0.00000000
1625576955.062, lauv-roald, Navigation, -0.04908686, -0.09971893, 0.00000000
1625576966.061, lauv-roald, Navigation, -0.05430217, -0.09903648, 0.00000000
1625576977.061, lauv-roald, Navigation, -0.06040900, -0.09667117, 0.00000000
1625576987.061, lauv-roald, Navigation, -0.07114861, -0.09538432, 0.00000000
1625576998.062, lauv-roald, Navigation, -0.07788721, -0.09517065, 0.00000000
1625577009.061, lauv-roald, Navigation, -0.07890419, -0.09525118, 0.00000000
1625577019.062, lauv-roald, Navigation, -0.07999584, -0.09564334, 0.00000000
1625577029.062, lauv-roald, Navigation, -0.08201017, -0.09557999, 0.00000000
1625577039.062, lauv-roald, Navigation, -0.08591358, -0.09741327, 0.00000000
1625577050.062, lauv-roald, Navigation, -0.09108531, -0.09651855, 0.00000000
1625577060.062, lauv-roald, Navigation, -0.09348880, -0.09742115, 0.00000000
1625577071.062, lauv-roald, Navigation, -0.09283005, -0.09902581, 0.00000000
1625577081.062, lauv-roald, Navigation, -0.09601023, -0.09957033, 0.00000000
1625577242.061, lauv-roald, Navigation, 0.15309955, 0.06889967, 0.00000000
1625577253.062, lauv-roald, Navigation, 0.15037685, 0.07542748, 0.00000000
1625577263.062, lauv-roald, Navigation, 0.14852771, 0.07866455, 0.00000000
1625577274.061, lauv-roald, Navigation, 0.14644475, 0.07857350, 0.00000000
1625577284.061, lauv-roald, Navigation, 0.14172452, 0.07999880, 0.00000000
1625577295.061, lauv-roald, Navigation, 0.13819585, 0.08175364, 0.00000000
1625577305.062, lauv-roald, Navigation, 0.13188359, 0.08939799, 0.00000000
1625577316.062, lauv-roald, Navigation, 0.12410281, 0.09226156, 0.00000000
1625577527.061, lauv-roald, Navigation, 0.29839724, 0.30114403, 0.00000000
1625577537.062, lauv-roald, Navigation, 0.29037666, 0.30737528, 0.00000000
1625577548.061, lauv-roald, Navigation, 0.29333182, 0.31242971, 0.00000000
1625577558.063, lauv-roald, Navigation, 0.29473773, 0.31358597, 0.00000000
1625577569.062, lauv-roald, Navigation, 0.29652715, 0.31377567, 0.00000000
1625577579.062, lauv-roald, Navigation, 0.29456624, 0.30976444, 0.00000000
1625577590.062, lauv-roald, Navigation, 0.29695993, 0.31236590, 0.00000000
1625577601.061, lauv-roald, Navigation, 0.29405616, 0.31777061, 0.00000000
1625577612.062, lauv-roald, Navigation, 0.28790076, 0.32063699, 0.00000000
1625577623.061, lauv-roald, Navigation, 0.28642931, 0.31895140, 0.00000000
1625577633.062, lauv-roald, Navigation, 0.28316713, 0.31898637, 0.00000000
1625577644.062, lauv-roald, Navigation, 0.28600341, 0.31748149, 0.00000000
1625577654.062, lauv-roald, Navigation, 0.28343549, 0.31381053, 0.00000000
1625577665.061, lauv-roald, Navigation, 0.28207902, 0.30943357, 0.00000000
1625577675.062, lauv-roald, Navigation, 0.27850626, 0.30710617, 0.00000000
1625577686.061, lauv-roald, Navigation, 0.27800546, 0.30627112, 0.00000000
1625577696.061, lauv-roald, Navigation, 0.28189257, 0.30674681, 0.00000000
1625577706.062, lauv-roald, Navigation, 0.28575144, 0.30060141, 0.00000000
1625577717.062, lauv-roald, Navigation, 0.28610926, 0.29374756, 0.00000000
1625577728.061, lauv-roald, Navigation, 0.28661373, 0.28670641, 0.00000000
1625577738.062, lauv-roald, Navigation, 0.28931900, 0.27923055, 0.00000000
1625577749.062, lauv-roald, Navigation, 0.29070212, 0.27283454, 0.00000000
1625577760.061, lauv-roald, Navigation, 0.29207026, 0.26892400, 0.00000000
1625577770.061, lauv-roald, Navigation, 0.29381082, 0.26824115, 0.00000000
1625577781.061, lauv-roald, Navigation, 0.29701713, 0.26608190, 0.00000000
1625577791.062, lauv-roald, Navigation, 0.30290110, 0.26632890, 0.00000000
1625577802.061, lauv-roald, Navigation, 0.30390044, 0.26221148, 0.00000000
1625577812.062, lauv-roald, Navigation, 0.30444768, 0.25738169, 0.00000000
1625577822.062, lauv-roald, Navigation, 0.30241349, 0.25194983, 0.00000000
1625577832.062, lauv-roald, Navigation, 0.30166491, 0.24829111, 0.00000000
1625577843.062, lauv-roald, Navigation, 0.30013825, 0.24168935, 0.00000000
1625577854.061, lauv-roald, Navigation, 0.29791945, 0.23841796, 0.00000000
1625577864.062, lauv-roald, Navigation, 0.29472438, 0.23505226, 0.00000000
1625577875.062, lauv-roald, Navigation, 0.29043117, 0.23201078, 0.00000000
1625577886.061, lauv-roald, Navigation, 0.28741663, 0.22825338, 0.00000000
1625577897.061, lauv-roald, Navigation, 0.27715387, 0.22189440, 0.00000000
1625577908.061, lauv-roald, Navigation, 0.27004683, 0.21749868, 0.00000000
1625577918.062, lauv-roald, Navigation, 0.26130211, 0.21872905, 0.00000000
1625577929.061, lauv-roald, Navigation, 0.25811853, 0.22334631, 0.00000000
1625577940.061, lauv-roald, Navigation, 0.25142198, 0.22298876, 0.00000000
1625577951.061, lauv-roald, Navigation, 0.24399166, 0.22291007, 0.00000000
1625577962.061, lauv-roald, Navigation, 0.23825915, 0.22057666, 0.00000000
1625577972.062, lauv-roald, Navigation, 0.23140199, 0.21908895, 0.00000000
1625577983.062, lauv-roald, Navigation, 0.22650033, 0.21576097, 0.00000000
1625577994.061, lauv-roald, Navigation, 0.21854612, 0.21513893, 0.00000000
1625578004.061, lauv-roald, Navigation, 0.21598551, 0.21650548, 0.00000000
1625578014.061, lauv-roald, Navigation, 0.20888971, 0.21876407, 0.00000000
1625578025.061, lauv-roald, Navigation, 0.20296176, 0.21706264, 0.00000000
1625578036.061, lauv-roald, Navigation, 0.19773056, 0.21646630, 0.00000000
1625578047.061, lauv-roald, Navigation, 0.19416155, 0.21742727, 0.00000000
1625578058.062, lauv-roald, Navigation, 0.19401807, 0.22244314, 0.00000000
1625578069.061, lauv-roald, Navigation, 0.19315059, 0.22665192, 0.00000000
1625578079.062, lauv-roald, Navigation, 0.19448327, 0.22818386, 0.00000000
1625578090.062, lauv-roald, Navigation, 0.19294658, 0.23346297, 0.00000000
1625578101.061, lauv-roald, Navigation, 0.19311318, 0.23368694, 0.00000000
1625578111.061, lauv-roald, Navigation, 0.19031965, 0.23251487, 0.00000000
1625578122.061, lauv-roald, Navigation, 0.19251997, 0.22934941, 0.00000000
1625578132.061, lauv-roald, Navigation, 0.19514040, 0.22684677, 0.00000000
1625578143.061, lauv-roald, Navigation, 0.19903018, 0.22170453, 0.00000000
1625578154.061, lauv-roald, Navigation, 0.20038662, 0.21709888, 0.00000000
1625578164.062, lauv-roald, Navigation, 0.19894190, 0.20890890, 0.00000000
1625578175.061, lauv-roald, Navigation, 0.19727902, 0.20341886, 0.00000000
1625578186.062, lauv-roald, Navigation, 0.19450062, 0.19909330, 0.00000000
1625578197.061, lauv-roald, Navigation, 0.19279886, 0.19159362, 0.00000000
1625578207.061, lauv-roald, Navigation, 0.19091442, 0.18634339, 0.00000000
1625578218.061, lauv-roald, Navigation, 0.19387132, 0.18022732, 0.00000000
1625578228.061, lauv-roald, Navigation, 0.19261517, 0.17543039, 0.00000000
1625578238.061, lauv-roald, Navigation, 0.18647780, 0.16935421, 0.00000000
1625578248.062, lauv-roald, Navigation, 0.17910457, 0.16688468, 0.00000000
1625578259.061, lauv-roald, Navigation, 0.16999692, 0.16198652, 0.00000000
1625578269.062, lauv-roald, Navigation, 0.16333151, 0.16017447, 0.00000000
1625578280.062, lauv-roald, Navigation, 0.16009833, 0.15561508, 0.00000000
1625578291.062, lauv-roald, Navigation, 0.15435253, 0.14918673, 0.00000000
1625578302.062, lauv-roald, Navigation, 0.15162931, 0.14402903, 0.00000000
1625578312.062, lauv-roald, Navigation, 0.15068967, 0.13753325, 0.00000000
1625578323.062, lauv-roald, Navigation, 0.14785957, 0.13484046, 0.00000000
1625578333.063, lauv-roald, Navigation, 0.14713342, 0.13177529, 0.00000000
1625578344.062, lauv-roald, Navigation, 0.14840926, 0.12980764, 0.00000000
1625578430.082, lauv-roald, Navigation, 0.15940222, 0.09847529, 0.00000000
1625578440.082, lauv-roald, Navigation, 0.16865843, 0.09726576, 0.00000000
1625578451.082, lauv-roald, Navigation, 0.17257208, 0.09709378, 0.00000000
1625578462.082, lauv-roald, Navigation, 0.17486244, 0.09714822, 0.00000000
1625578473.082, lauv-roald, Navigation, 0.17717700, 0.09977621, 0.00000000
1625578483.082, lauv-roald, Navigation, 0.17955359, 0.10262186, 0.00000000
1625578494.082, lauv-roald, Navigation, 0.18166335, 0.10076091, 0.00000000
1625578505.082, lauv-roald, Navigation, 0.18709151, 0.10017080, 0.00000000
1625578515.082, lauv-roald, Navigation, 0.19112966, 0.09870682, 0.00000000
1625578525.082, lauv-roald, Navigation, 0.18961080, 0.09962136, 0.00000000
1625578536.082, lauv-roald, Navigation, 0.18716982, 0.10545496, 0.00000000
1625578547.082, lauv-roald, Navigation, 0.18460843, 0.10995045, 0.00000000
1625578558.082, lauv-roald, Navigation, 0.18222465, 0.11228299, 0.00000000
1625578568.082, lauv-roald, Navigation, 0.18002081, 0.11357479, 0.00000000
1625578579.082, lauv-roald, Navigation, 0.17784839, 0.10860019, 0.00000000
1625578590.082, lauv-roald, Navigation, 0.17463322, 0.10484171, 0.00000000
1625578601.082, lauv-roald, Navigation, 0.17364711, 0.10296634, 0.00000000
1625578612.082, lauv-roald, Navigation, 0.17161356, 0.10417246, 0.00000000
1625578623.082, lauv-roald, Navigation, 0.16943495, 0.10646833, 0.00000000
1625578634.032, lauv-roald, Navigation, 0.16979817, 0.10435701, 0.00000000
