timestamp, system, entity , validity (bitfield), type (enumerated), utc_year, utc_month, utc_day, utc_time (s), lat (rad), lon (rad), height (m), satellites, cog (rad), sog (m/s), hdop, vdop, hacc (m), vacc (m)
1625573935.212, lauv-roald, Navigation, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2021, 7, 6, 44335.000, 1.10739357, 0.18190260, 42.057, 7, 1.138, 0.791, 1.450, 1.780, 11.000, 14.000
1625574475.033, lauv-roald, GPS, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2021, 7, 6, 44875.000, 1.10745668, 0.18197682, 37.408, 12, 0.334, 0.739, 0.810, 1.040, 1.800, 2.500
1625574476.039, lauv-roald, GPS, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2021, 7, 6, 44876.000, 1.10745682, 0.18197694, 37.575, 12, 0.450, 0.767, 0.810, 1.040, 1.800, 2.400
1625574477.030, lauv-roald, GPS, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2021, 7, 6, 44877.000, 1.10745694, 0.18197704, 37.513, 12, 0.342, 0.849, 0.810, 1.040, 1.800, 2.500
1625574478.026, lauv-roald, GPS, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2021, 7, 6, 44878.000, 1.10745705, 0.18197715, 37.524, 12, 0.441, 0.818, 0.810, 1.040, 1.800, 2.500
1625574479.034, lauv-roald, GPS, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2021, 7, 6, 44879.000, 1.10745718, 0.18197733, 37.248, 12, 0.513, 1.070, 0.810, 1.040, 1.800, 2.500
1625574480.041, lauv-roald, GPS, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2021, 7, 6, 44880.000, 1.10745737, 0.18197755, 37.336, 12, 0.477, 1.449, 0.810, 1.040, 1.800, 2.500
1625574481.036, lauv-roald, GPS, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2021, 7, 6, 44881.000, 1.10745755, 0.18197791, 36.996, 12, 0.666, 1.734, 0.810, 1.040, 1.800, 2.500
1625574482.035, lauv-roald, GPS, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2021, 7, 6, 44882.000, 1.10745775, 0.18197835, 37.114, 12, 0.749, 1.888, 0.810, 1.040, 1.700, 2.500
1625574483.030, lauv-roald, GPS, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2021, 7, 6, 44883.000, 1.10745800, 0.18197889, 37.417, 11, 0.792, 2.312, 0.890, 1.110, 1.700, 2.500
