timestamp, system, entity , value (psu)
1625574474.402, lauv-roald, SmartX, 11.217
1625574474.902, lauv-roald, SmartX, 11.008
1625574475.402, lauv-roald, SmartX, 11.654
1625574475.901, lauv-roald, SmartX, 11.365
1625574476.402, lauv-roald, SmartX, 11.361
1625574476.901, lauv-roald, SmartX, 11.406
1625574477.402, lauv-roald, SmartX, 11.788
1625574477.901, lauv-roald, SmartX, 11.639
1625574478.401, lauv-roald, SmartX, 11.531
1625574478.901, lauv-roald, SmartX, 11.587
1625574479.401, lauv-roald, SmartX, 11.186
1625574479.901, lauv-roald, SmartX, 11.424
1625574480.401, lauv-roald, SmartX, 11.486
1625574480.901, lauv-roald, SmartX, 11.471
1625574481.401, lauv-roald, SmartX, 10.893
1625574481.901, lauv-roald, SmartX, 10.187
1625574482.401, lauv-roald, SmartX, 9.296
1625574482.901, lauv-roald, SmartX, 8.448
1625574483.401, lauv-roald, SmartX, 9.018
1625574483.901, lauv-roald, SmartX, 10.555
1625574484.401, lauv-roald, SmartX, 11.047
1625574484.901, lauv-roald, SmartX, 11.378
1625574485.401, lauv-roald, SmartX, 11.533
1625574485.901, lauv-roald, SmartX, 11.746
1625574486.401, lauv-roald, SmartX, 11.862
1625574486.901, lauv-roald, SmartX, 11.768
1625574487.401, lauv-roald, SmartX, 11.741
1625574487.901, lauv-roald, SmartX, 11.660
1625574488.401, lauv-roald, SmartX, 11.165
1625574488.901, lauv-roald, SmartX, 11.033
1625574489.401, lauv-roald, SmartX, 10.960
1625574489.901, lauv-roald, SmartX, 10.716
1625574490.401, lauv-roald, SmartX, 10.646
1625574490.901, lauv-roald, SmartX, 10.943
1625574491.400, lauv-roald, SmartX, 11.356
1625574491.901, lauv-roald, SmartX, 11.019
1625574492.401, lauv-roald, SmartX, 10.789
1625574492.900, lauv-roald, SmartX, 10.625
1625574493.400, lauv-roald, SmartX, 10.412
1625574493.900, lauv-roald, SmartX, 10.643
1625574494.400, lauv-roald, SmartX, 11.183
1625574494.900, lauv-roald, SmartX, 11.342
1625574495.400, lauv-roald, SmartX, 12.409
1625574495.900, lauv-roald, SmartX, 13.217
1625574496.400, lauv-roald, SmartX, 13.167
1625574496.900, lauv-roald, SmartX, 12.754
1625574497.400, lauv-roald, SmartX, 12.408
1625574497.900, lauv-roald, SmartX, 12.539
1625574498.400, lauv-roald, SmartX, 13.736
1625574498.900, lauv-roald, SmartX, 14.289
1625574499.400, lauv-roald, SmartX, 14.021
1625574499.900, lauv-roald, SmartX, 12.718
1625574500.400, lauv-roald, SmartX, 12.585
1625574500.900, lauv-roald, SmartX, 11.255
1625574501.400, lauv-roald, SmartX, 11.656
1625574501.900, lauv-roald, SmartX, 12.000
1625574502.400, lauv-roald, SmartX, 12.169
1625574502.900, lauv-roald, SmartX, 12.339
1625574503.400, lauv-roald, SmartX, 12.813
1625574503.900, lauv-roald, SmartX, 15.197
1625574504.400, lauv-roald, SmartX, 16.042
1625574504.900, lauv-roald, SmartX, 16.402
1625574505.400, lauv-roald, SmartX, 16.893
1625574505.900, lauv-roald, SmartX, 16.195
1625574506.400, lauv-roald, SmartX, 14.354
1625574506.899, lauv-roald, SmartX, 13.501
1625574507.399, lauv-roald, SmartX, 12.712
1625574507.899, lauv-roald, SmartX, 12.589
1625574508.399, lauv-roald, SmartX, 14.165
1625574508.899, lauv-roald, SmartX, 16.050
1625574509.400, lauv-roald, SmartX, 16.976
1625574509.899, lauv-roald, SmartX, 15.877
1625574510.399, lauv-roald, SmartX, 13.896
1625574510.899, lauv-roald, SmartX, 11.574
1625574511.399, lauv-roald, SmartX, 10.591
1625574511.899, lauv-roald, SmartX, 10.968
1625574512.399, lauv-roald, SmartX, 12.053
1625574512.899, lauv-roald, SmartX, 13.101
1625574513.399, lauv-roald, SmartX, 14.088
1625574513.899, lauv-roald, SmartX, 14.792
1625574514.399, lauv-roald, SmartX, 15.170
1625574514.899, lauv-roald, SmartX, 14.719
1625574515.399, lauv-roald, SmartX, 13.704
1625574515.899, lauv-roald, SmartX, 12.717
1625574516.399, lauv-roald, SmartX, 12.468
1625574516.899, lauv-roald, SmartX, 12.974
1625574517.399, lauv-roald, SmartX, 13.880
1625574517.899, lauv-roald, SmartX, 14.148
1625574518.398, lauv-roald, SmartX, 14.664
1625574518.899, lauv-roald, SmartX, 15.557
1625574519.399, lauv-roald, SmartX, 17.530
1625574519.899, lauv-roald, SmartX, 18.600
1625574520.399, lauv-roald, SmartX, 17.792
1625574520.899, lauv-roald, SmartX, 16.696
1625574521.399, lauv-roald, SmartX, 15.518
1625574521.898, lauv-roald, SmartX, 14.709
1625574522.399, lauv-roald, SmartX, 14.453
1625574522.898, lauv-roald, SmartX, 14.588
1625574523.398, lauv-roald, SmartX, 15.662
1625574523.899, lauv-roald, SmartX, 17.253
1625574524.399, lauv-roald, SmartX, 17.696
1625574524.899, lauv-roald, SmartX, 16.328
1625574525.398, lauv-roald, SmartX, 13.346
1625574525.898, lauv-roald, SmartX, 12.025
1625574526.398, lauv-roald, SmartX, 10.382
1625574526.898, lauv-roald, SmartX, 8.924
1625574527.398, lauv-roald, SmartX, 8.373
1625574527.898, lauv-roald, SmartX, 9.502
1625574528.398, lauv-roald, SmartX, 11.049
1625574528.898, lauv-roald, SmartX, 14.335
1625574529.399, lauv-roald, SmartX, 17.588
1625574529.899, lauv-roald, SmartX, 17.159
1625574530.398, lauv-roald, SmartX, 15.918
1625574530.898, lauv-roald, SmartX, 14.928
1625574531.398, lauv-roald, SmartX, 15.050
1625574531.898, lauv-roald, SmartX, 16.276
1625574532.398, lauv-roald, SmartX, 15.224
1625574532.898, lauv-roald, SmartX, 14.499
1625574533.398, lauv-roald, SmartX, 12.838
1625574533.898, lauv-roald, SmartX, 11.700
1625574534.398, lauv-roald, SmartX, 10.193
1625574534.897, lauv-roald, SmartX, 9.423
1625574535.398, lauv-roald, SmartX, 9.592
1625574535.898, lauv-roald, SmartX, 10.194
1625574536.398, lauv-roald, SmartX, 11.677
1625574536.897, lauv-roald, SmartX, 14.274
1625574537.398, lauv-roald, SmartX, 16.660
1625574537.898, lauv-roald, SmartX, 16.743
1625574538.398, lauv-roald, SmartX, 16.873
1625574538.897, lauv-roald, SmartX, 16.250
1625574539.397, lauv-roald, SmartX, 14.799
1625574539.897, lauv-roald, SmartX, 13.208
1625574540.397, lauv-roald, SmartX, 12.891
1625574540.897, lauv-roald, SmartX, 11.566
1625574541.397, lauv-roald, SmartX, 10.263
1625574541.897, lauv-roald, SmartX, 10.163
1625574542.397, lauv-roald, SmartX, 9.946
1625574542.897, lauv-roald, SmartX, 10.184
1625574543.397, lauv-roald, SmartX, 11.579
1625574543.897, lauv-roald, SmartX, 12.245
1625574544.397, lauv-roald, SmartX, 13.550
1625574544.897, lauv-roald, SmartX, 14.664
1625574545.397, lauv-roald, SmartX, 14.290
1625574545.897, lauv-roald, SmartX, 13.058
1625574546.398, lauv-roald, SmartX, 12.184
1625574546.897, lauv-roald, SmartX, 12.026
1625574547.397, lauv-roald, SmartX, 12.988
1625574547.897, lauv-roald, SmartX, 14.700
1625574548.397, lauv-roald, SmartX, 16.652
1625574548.897, lauv-roald, SmartX, 17.869
1625574549.397, lauv-roald, SmartX, 17.318
1625574549.897, lauv-roald, SmartX, 14.953
1625574550.396, lauv-roald, SmartX, 13.126
1625574550.896, lauv-roald, SmartX, 12.171
1625574551.396, lauv-roald, SmartX, 11.722
1625574551.896, lauv-roald, SmartX, 14.061
1625574552.397, lauv-roald, SmartX, 16.908
1625574552.897, lauv-roald, SmartX, 19.099
1625574553.397, lauv-roald, SmartX, 18.620
1625574553.897, lauv-roald, SmartX, 17.700
1625574554.397, lauv-roald, SmartX, 17.521
1625574554.896, lauv-roald, SmartX, 15.618
1625574555.396, lauv-roald, SmartX, 14.631
1625574555.896, lauv-roald, SmartX, 12.410
1625574556.396, lauv-roald, SmartX, 11.952
1625574556.896, lauv-roald, SmartX, 11.152
1625574557.396, lauv-roald, SmartX, 11.064
1625574557.896, lauv-roald, SmartX, 11.164
1625574558.396, lauv-roald, SmartX, 11.749
1625574558.896, lauv-roald, SmartX, 12.387
1625574559.396, lauv-roald, SmartX, 13.464
1625574559.897, lauv-roald, SmartX, 17.664
1625574560.397, lauv-roald, SmartX, 18.173
1625574560.896, lauv-roald, SmartX, 18.285
1625574561.396, lauv-roald, SmartX, 16.688
1625574561.896, lauv-roald, SmartX, 13.885
1625574562.396, lauv-roald, SmartX, 14.489
1625574562.896, lauv-roald, SmartX, 13.712
1625574563.396, lauv-roald, SmartX, 13.445
1625574563.896, lauv-roald, SmartX, 14.074
1625574564.396, lauv-roald, SmartX, 14.763
1625574564.896, lauv-roald, SmartX, 18.133
1625574565.396, lauv-roald, SmartX, 19.534
1625574565.896, lauv-roald, SmartX, 19.229
1625574566.396, lauv-roald, SmartX, 18.031
1625574566.896, lauv-roald, SmartX, 16.309
1625574567.395, lauv-roald, SmartX, 15.189
1625574567.895, lauv-roald, SmartX, 13.930
1625574568.395, lauv-roald, SmartX, 14.929
1625574568.896, lauv-roald, SmartX, 16.093
1625574569.395, lauv-roald, SmartX, 16.245
1625574569.896, lauv-roald, SmartX, 16.589
1625574570.396, lauv-roald, SmartX, 16.413
1625574570.895, lauv-roald, SmartX, 15.128
1625574571.395, lauv-roald, SmartX, 13.851
1625574571.895, lauv-roald, SmartX, 13.534
1625574572.395, lauv-roald, SmartX, 13.236
1625574572.895, lauv-roald, SmartX, 13.314
1625574573.395, lauv-roald, SmartX, 13.875
