timestamp, system, entity , number, timeout, contents
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45287022840393, 10.426592699278405
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.452234494897674, 10.426051044742017
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.451553692361884, 10.425176287488984
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45096041063062, 10.424494067214425
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.450377959924786, 10.423731270657457
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.44981681700703, 10.423107187743073
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.44938746979611, 10.422375322321688
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.448849309456065, 10.421848494738937
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.44833515494547, 10.421295893684972
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.44837891760942, 10.420203472218532
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.44883229874956, 10.41846767492844
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.449244980101646, 10.416885838601548
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.44965694804491, 10.415308809125412
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45006149850327, 10.413752703721437
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45046908558821, 10.412197902614015
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45087762895662, 10.410637315926575
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.451286670170845, 10.409070998667795
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45169559514793, 10.407505846260234
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.452110923310705, 10.405915374540301
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45252583258116, 10.404322652437534
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.44979069397724, 10.401064796016772
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45043715256936, 10.400638284299877
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45117613508017, 10.40161202942727
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.451879098746325, 10.402547832368453
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.452577474198364, 10.403471856427993
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.453279216415105, 10.40440185829673
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45397214791195, 10.405315268378047
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.454662631575395, 10.406229773037468
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45524927545357, 10.40720950814145
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.454809403984555, 10.408756940266297
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45440801084474, 10.410334615235078
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.454010650639994, 10.411890230868538
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45361371672946, 10.413454213890398
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45321088268781, 10.415040998424061
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45280962223378, 10.416614599171128
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45240571683668, 10.418206283239083
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45200316461525, 10.419782824560322
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45160559441606, 10.421348060088055
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.451206385794165, 10.422913048480446
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.449220571797, 10.429701019367478
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.44919932051996, 10.429576510237489
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.449155088448364, 10.42945861789327
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.4491026145746, 10.429339365660855
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.44917545901458, 10.42944257837242
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.44984940231298, 10.428882394055174
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45341702540524, 10.432929198295955
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45327398053454, 10.43111633343214
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45312974560394, 10.429334660592007
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.452990274202655, 10.427572895867483
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45284087604052, 10.425782430173893
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45269736128669, 10.42404727053344
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.452549526842965, 10.422246004382858
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45240540485978, 10.420457643339109
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45226549592439, 10.418720781152226
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45212042375745, 10.416938951027921
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45197778818401, 10.415153084578817
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45182613683084, 10.413291901273901
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45168417208821, 10.41150854769006
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45153871173312, 10.409712626853706
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45139700180752, 10.40794753770741
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45125335491619, 10.406153038895608
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45110749855982, 10.404351881882373
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45106945077406, 10.403682404578202
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45116097120511, 10.403096280594406
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.450860004618406, 10.403272401577029
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.450993873197945, 10.403803769076383
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.451207702096646, 10.403326249509414
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45091355004897, 10.403082381454436
1625580394.968, lauv-roald, Safety Supervisor, +4790288012, 120, (A) (lauv-roald) 13:48:06 / 63 31.014110, 10 22.040450 / f:41 c:74 / p:-1 > 63 27.061337, 10 24.208253
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45177680215826, 10.402433839145285
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45176342399281, 10.402349265470002
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45174461577216, 10.402254396214628
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45173386112156, 10.40217159691932
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.451400881506416, 10.40275385754499
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45117453425909, 10.404581208778913
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.451089535923764, 10.406342791749879
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45098456954297, 10.408189444236728
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45088529185959, 10.409986772591669
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45078751634925, 10.411808880346914
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.450689728433886, 10.413623037778065
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.450592167167244, 10.415442294494685
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.450496130622, 10.417259840660261
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.450396397653655, 10.41907006028221
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.450297503703595, 10.420893357601875
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45020045995262, 10.422645568325033
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45044107671306, 10.423507837694553
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45057754925112, 10.422183561618278
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.451399287392256, 10.42169474925446
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45218325093229, 10.42122840581217
-1.000, lauv-roald, 255, +4790288012, 60, LAUV-ROALD pos: 63.45296420395799, 10.420754024009454
