timestamp, system, entity , value (m/s)
1625574474.402, lauv-roald, SmartX, 1484.930
1625574474.463, lauv-roald, DVL, 1500.433
1625574474.863, lauv-roald, DVL, 1500.392
1625574474.902, lauv-roald, SmartX, 1484.730
1625574475.060, lauv-roald, DVL, 1500.387
1625574475.263, lauv-roald, DVL, 1500.360
1625574475.402, lauv-roald, SmartX, 1485.260
1625574475.664, lauv-roald, DVL, 1500.336
1625574475.863, lauv-roald, DVL, 1500.324
1625574475.901, lauv-roald, SmartX, 1485.110
1625574476.065, lauv-roald, DVL, 1500.300
1625574476.402, lauv-roald, SmartX, 1485.040
1625574476.463, lauv-roald, DVL, 1500.273
1625574476.661, lauv-roald, DVL, 1500.273
1625574476.862, lauv-roald, DVL, 1500.246
1625574476.901, lauv-roald, SmartX, 1485.120
1625574477.263, lauv-roald, DVL, 1500.194
1625574477.402, lauv-roald, SmartX, 1485.350
1625574477.462, lauv-roald, DVL, 1500.197
1625574477.663, lauv-roald, DVL, 1500.185
1625574477.902, lauv-roald, SmartX, 1485.270
1625574478.063, lauv-roald, DVL, 1500.151
1625574478.260, lauv-roald, DVL, 1500.154
1625574478.401, lauv-roald, SmartX, 1485.170
1625574478.462, lauv-roald, DVL, 1500.157
1625574478.855, lauv-roald, DVL, 1500.134
1625574478.901, lauv-roald, SmartX, 1485.220
1625574479.058, lauv-roald, DVL, 1500.130
1625574479.257, lauv-roald, DVL, 1500.117
1625574479.401, lauv-roald, SmartX, 1484.880
1625574479.660, lauv-roald, DVL, 1500.123
1625574479.860, lauv-roald, DVL, 1500.117
1625574479.901, lauv-roald, SmartX, 1484.920
1625574480.064, lauv-roald, DVL, 1500.105
1625574480.401, lauv-roald, SmartX, 1485.110
1625574480.452, lauv-roald, DVL, 1500.044
1625574480.647, lauv-roald, DVL, 1500.033
1625574480.852, lauv-roald, DVL, 1499.988
1625574480.901, lauv-roald, SmartX, 1485.240
1625574481.260, lauv-roald, DVL, 1499.888
1625574481.401, lauv-roald, SmartX, 1484.960
1625574481.463, lauv-roald, DVL, 1499.869
1625574481.660, lauv-roald, DVL, 1499.850
1625574481.901, lauv-roald, SmartX, 1484.460
1625574482.062, lauv-roald, DVL, 1499.883
1625574482.265, lauv-roald, DVL, 1499.897
1625574482.401, lauv-roald, SmartX, 1484.020
1625574482.463, lauv-roald, DVL, 1499.945
1625574482.865, lauv-roald, DVL, 1500.037
1625574482.901, lauv-roald, SmartX, 1482.990
1625574483.063, lauv-roald, DVL, 1500.081
1625574483.262, lauv-roald, DVL, 1500.124
1625574483.401, lauv-roald, SmartX, 1482.700
1625574483.662, lauv-roald, DVL, 1500.197
1625574483.845, lauv-roald, DVL, 1500.233
1625574483.901, lauv-roald, SmartX, 1483.910
1625574484.047, lauv-roald, DVL, 1500.206
1625574484.401, lauv-roald, SmartX, 1484.500
1625574484.456, lauv-roald, DVL, 1500.122
1625574484.664, lauv-roald, DVL, 1500.083
1625574484.861, lauv-roald, DVL, 1500.024
1625574484.901, lauv-roald, SmartX, 1484.970
1625574485.262, lauv-roald, DVL, 1499.906
1625574485.401, lauv-roald, SmartX, 1485.050
1625574485.464, lauv-roald, DVL, 1499.885
1625574485.663, lauv-roald, DVL, 1499.837
1625574485.901, lauv-roald, SmartX, 1485.250
1625574486.065, lauv-roald, DVL, 1499.753
1625574486.263, lauv-roald, DVL, 1499.724
1625574486.401, lauv-roald, SmartX, 1485.410
1625574486.464, lauv-roald, DVL, 1499.701
1625574486.862, lauv-roald, DVL, 1499.615
1625574486.901, lauv-roald, SmartX, 1485.410
1625574487.062, lauv-roald, DVL, 1499.594
1625574487.262, lauv-roald, DVL, 1499.583
1625574487.401, lauv-roald, SmartX, 1485.400
1625574487.662, lauv-roald, DVL, 1499.566
1625574487.861, lauv-roald, DVL, 1499.550
1625574487.901, lauv-roald, SmartX, 1485.300
