timestamp, system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1625574474.466, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.80742657, -0.35549319, -0.22828694
1625574474.865, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.51919544, -0.44349453, -0.18221511
1625574475.061, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.44203079, -0.47760129, 0.02747359
1625574475.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.52591425, -0.47797868, 0.05236823
1625574475.667, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.59326553, -0.33344078, -0.03898363
1625574475.865, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.56406194, -0.26380098, 0.00421636
1625574476.067, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.52812254, -0.26519966, 0.06864161
1625574476.465, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.49249157, -0.39444637, 0.04253158
1625574476.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.53251743, -0.46809214, 0.01289934
1625574476.864, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.55204213, -0.46307564, -0.01852153
1625574477.264, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.61365795, -0.38760230, 0.03734073
1625574477.464, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.67402959, -0.38785759, 0.01366739
1625574477.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.71167612, -0.37739354, -0.07487644
1625574478.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.65742481, -0.42131659, -0.12378885
1625574478.262, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.63606977, -0.43324587, 0.02311089
1625574478.464, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.62450546, -0.41027725, 0.19171456
1625574478.857, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 0.91896409, -0.30786142, 0.16473728
1625574479.060, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.07721543, -0.29832709, 0.11903869
1625574479.258, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.15326452, -0.33193696, 0.10367518
1625574479.662, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.14140379, -0.50396717, 0.05780091
1625574479.862, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.15305924, -0.52835411, -0.07312940
1625574480.066, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.19873619, -0.49723434, -0.14187804
1625574480.454, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.31689751, -0.39908856, 0.08489136
1625574480.649, lauv-roald, DVL, , 1.40736556, -0.35892230, 0.19821206
1625574480.854, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.54376853, -0.41638252, 0.20518231
1625574481.262, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.73212576, -0.62258327, 0.00521195
1625574481.465, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.76037812, -0.68537664, -0.03399247
1625574481.662, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.68947184, -0.68468416, -0.14083228
1625574482.064, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.64765453, -0.37088156, -0.20341962
1625574482.266, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.70684695, -0.37810507, 0.08727171
