timestamp, system, entity , value (m)
1623921387.586, lauv-roald, SmartX, 0.169
1623921388.085, lauv-roald, SmartX, 0.149
1623921388.585, lauv-roald, SmartX, 0.159
1623924807.986, lauv-roald, SmartX, 0.159
1623924808.483, lauv-roald, SmartX, 0.159
1623924808.983, lauv-roald, SmartX, 0.149
1623928534.477, lauv-roald, SmartX, 0.169
1623928841.612, lauv-roald, SmartX, 0.139
1623928842.109, lauv-roald, SmartX, 0.129
1623928842.609, lauv-roald, SmartX, 0.129
1623928843.109, lauv-roald, SmartX, 0.139
1623928843.609, lauv-roald, SmartX, 0.139
1623928844.109, lauv-roald, SmartX, 0.129
1623928844.609, lauv-roald, SmartX, 0.139
1623928845.109, lauv-roald, SmartX, 0.119
1623928845.609, lauv-roald, SmartX, 0.119
1623928846.109, lauv-roald, SmartX, 0.090
1623928846.608, lauv-roald, SmartX, 0.159
1623928847.108, lauv-roald, SmartX, 0.179
1623928847.608, lauv-roald, SmartX, 0.179
1623928848.108, lauv-roald, SmartX, 0.169
1623928848.608, lauv-roald, SmartX, 0.159
1623928849.108, lauv-roald, SmartX, 0.149
1623928849.608, lauv-roald, SmartX, 0.119
1623928850.108, lauv-roald, SmartX, 0.129
1623928850.608, lauv-roald, SmartX, 0.109
1623928851.108, lauv-roald, SmartX, 0.149
1623928851.608, lauv-roald, SmartX, 0.209
1623928852.108, lauv-roald, SmartX, 0.279
1623928852.608, lauv-roald, SmartX, 0.358
1623928853.108, lauv-roald, SmartX, 0.438
1623928853.608, lauv-roald, SmartX, 0.507
1623928854.108, lauv-roald, SmartX, 0.537
1623928854.608, lauv-roald, SmartX, 0.517
1623928855.108, lauv-roald, SmartX, 0.468
1623928855.608, lauv-roald, SmartX, 0.408
1623928856.108, lauv-roald, SmartX, 0.338
1623928856.608, lauv-roald, SmartX, 0.249
1623928857.108, lauv-roald, SmartX, 0.189
1623928857.608, lauv-roald, SmartX, 0.109
1623928858.109, lauv-roald, SmartX, 0.139
1623928858.608, lauv-roald, SmartX, 0.219
1623928859.108, lauv-roald, SmartX, 0.239
1623928859.608, lauv-roald, SmartX, 0.249
1623928860.107, lauv-roald, SmartX, 0.229
1623928860.608, lauv-roald, SmartX, 0.209
1623928861.108, lauv-roald, SmartX, 0.199
1623928861.608, lauv-roald, SmartX, 0.179
1623928862.108, lauv-roald, SmartX, 0.149
1623928862.607, lauv-roald, SmartX, 0.139
1623928863.107, lauv-roald, SmartX, 0.139
1623928863.607, lauv-roald, SmartX, 0.149
1623928864.107, lauv-roald, SmartX, 0.139
1623928864.607, lauv-roald, SmartX, 0.149
1623928865.049, lauv-roald, DVL, 0.000
1623928865.107, lauv-roald, SmartX, 0.139
1623928865.254, lauv-roald, DVL, 0.000
1623928865.607, lauv-roald, SmartX, 0.149
1623928865.651, lauv-roald, DVL, 0.000
1623928865.849, lauv-roald, DVL, 0.000
1623928866.051, lauv-roald, DVL, 0.000
1623928866.107, lauv-roald, SmartX, 0.139
1623928866.449, lauv-roald, DVL, 0.000
1623928866.607, lauv-roald, SmartX, 0.139
1623928866.651, lauv-roald, DVL, 0.000
1623928866.854, lauv-roald, DVL, 0.000
1623928867.107, lauv-roald, SmartX, 0.149
1623928867.249, lauv-roald, DVL, 0.000
1623928867.451, lauv-roald, DVL, 0.000
1623928867.607, lauv-roald, SmartX, 0.149
1623928867.652, lauv-roald, DVL, 0.000
1623928868.050, lauv-roald, DVL, 0.000
1623928868.107, lauv-roald, SmartX, 0.149
1623928868.251, lauv-roald, DVL, 0.000
1623928868.448, lauv-roald, DVL, 0.000
1623928868.607, lauv-roald, SmartX, 0.149
1623928868.851, lauv-roald, DVL, 0.000
1623928869.050, lauv-roald, DVL, 0.000
1623928869.107, lauv-roald, SmartX, 0.139
1623928869.250, lauv-roald, DVL, 0.000
1623928869.607, lauv-roald, SmartX, 0.139
1623928869.652, lauv-roald, DVL, 0.000
1623928869.849, lauv-roald, DVL, 0.000
1623928870.051, lauv-roald, DVL, 0.000
1623928870.107, lauv-roald, SmartX, 0.139
1623928870.451, lauv-roald, DVL, 0.000
1623928870.607, lauv-roald, SmartX, 0.159
1623928870.650, lauv-roald, DVL, 0.000
1623928870.851, lauv-roald, DVL, 0.000
1623928871.107, lauv-roald, SmartX, 0.149
1623928871.251, lauv-roald, DVL, 0.000
1623928871.453, lauv-roald, DVL, 0.000
1623928871.607, lauv-roald, SmartX, 0.149
1623928871.652, lauv-roald, DVL, 0.000
1623928872.050, lauv-roald, DVL, 0.000
1623928872.107, lauv-roald, SmartX, 0.139
1623928872.251, lauv-roald, DVL, 0.000
1623928872.452, lauv-roald, DVL, 0.000
1623928872.607, lauv-roald, SmartX, 0.149
1623928872.850, lauv-roald, DVL, 0.000
1623928873.049, lauv-roald, DVL, 0.000
1623928873.107, lauv-roald, SmartX, 0.139
1623928873.251, lauv-roald, DVL, 0.000
1623928873.606, lauv-roald, SmartX, 0.139
1623928873.654, lauv-roald, DVL, 0.000
1623928873.851, lauv-roald, DVL, 0.000
1623928874.052, lauv-roald, DVL, 0.000
1623928874.106, lauv-roald, SmartX, 0.139
1623928874.451, lauv-roald, DVL, 0.000
1623928874.606, lauv-roald, SmartX, 0.139
1623928874.651, lauv-roald, DVL, 0.000
1623928874.851, lauv-roald, DVL, 0.000
1623928875.106, lauv-roald, SmartX, 0.149
1623928875.249, lauv-roald, DVL, 0.000
1623928875.451, lauv-roald, DVL, 0.000
1623928875.606, lauv-roald, SmartX, 0.149
1623928875.652, lauv-roald, DVL, 0.000
1623928876.051, lauv-roald, DVL, 0.000
1623928876.106, lauv-roald, SmartX, 0.139
1623928876.248, lauv-roald, DVL, 0.000
1623928876.451, lauv-roald, DVL, 0.000
1623928876.606, lauv-roald, SmartX, 0.149
1623928876.848, lauv-roald, DVL, 0.000
1623928877.052, lauv-roald, DVL, 0.000
1623928877.106, lauv-roald, SmartX, 0.139
1623928877.250, lauv-roald, DVL, 0.000
1623928877.606, lauv-roald, SmartX, 0.149
1623928877.653, lauv-roald, DVL, 0.000
1623928877.849, lauv-roald, DVL, 0.000
1623928878.051, lauv-roald, DVL, 0.000
1623928878.106, lauv-roald, SmartX, 0.139
1623928878.453, lauv-roald, DVL, 0.000
1623928878.606, lauv-roald, SmartX, 0.149
1623928878.654, lauv-roald, DVL, 0.000
1623928878.851, lauv-roald, DVL, 0.000
1623928879.106, lauv-roald, SmartX, 0.149
1623928879.250, lauv-roald, DVL, 0.000
1623928879.458, lauv-roald, DVL, 0.000
1623928879.606, lauv-roald, SmartX, 0.149
1623928879.651, lauv-roald, DVL, 0.000
1623928880.051, lauv-roald, DVL, 0.000
1623928880.106, lauv-roald, SmartX, 0.139
1623928880.253, lauv-roald, DVL, 0.000
1623928880.453, lauv-roald, DVL, 0.000
1623928880.606, lauv-roald, SmartX, 0.169
1623928880.853, lauv-roald, DVL, 0.000
1623928881.050, lauv-roald, DVL, 0.000
1623928881.106, lauv-roald, SmartX, 0.149
1623928881.250, lauv-roald, DVL, 0.000
1623928881.606, lauv-roald, SmartX, 0.159
1623928881.652, lauv-roald, DVL, 0.000
1623928881.854, lauv-roald, DVL, 0.000
1623928882.050, lauv-roald, DVL, 0.000
1623928882.106, lauv-roald, SmartX, 0.159
1623928882.452, lauv-roald, DVL, 0.000
1623928882.606, lauv-roald, SmartX, 0.139
1623928882.652, lauv-roald, DVL, 0.000
1623928882.850, lauv-roald, DVL, 0.000
1623928883.106, lauv-roald, SmartX, 0.149
1623928883.253, lauv-roald, DVL, 0.000
1623928883.449, lauv-roald, DVL, 0.000
1623928883.606, lauv-roald, SmartX, 0.169
1623928883.653, lauv-roald, DVL, 0.000
1623928884.051, lauv-roald, DVL, 0.000
1623928884.106, lauv-roald, SmartX, 0.159
1623928884.252, lauv-roald, DVL, 0.000
1623928884.451, lauv-roald, DVL, 0.000
1623928884.606, lauv-roald, SmartX, 0.139
1623928884.851, lauv-roald, DVL, 0.000
1623928885.052, lauv-roald, DVL, 0.000
1623928885.106, lauv-roald, SmartX, 0.149
1623928885.250, lauv-roald, DVL, 0.000
1623928885.606, lauv-roald, SmartX, 0.149
1623928885.653, lauv-roald, DVL, 0.000
1623928885.853, lauv-roald, DVL, 0.000
1623928886.050, lauv-roald, DVL, 0.000
1623928886.106, lauv-roald, SmartX, 0.159
1623928886.452, lauv-roald, DVL, 0.000
1623928886.606, lauv-roald, SmartX, 0.149
1623928886.652, lauv-roald, DVL, 0.000
1623928886.851, lauv-roald, DVL, 0.000
1623928887.106, lauv-roald, SmartX, 0.159
1623928887.251, lauv-roald, DVL, 0.000
1623928887.452, lauv-roald, DVL, 0.000
1623928887.606, lauv-roald, SmartX, 0.169
1623928887.650, lauv-roald, DVL, 0.000
1623928888.050, lauv-roald, DVL, 0.000
1623928888.106, lauv-roald, SmartX, 0.159
1623928888.251, lauv-roald, DVL, 0.000
1623928888.449, lauv-roald, DVL, 0.000
1623928888.605, lauv-roald, SmartX, 0.159
1623928888.852, lauv-roald, DVL, 0.000
1623928889.051, lauv-roald, DVL, 0.000
1623928889.105, lauv-roald, SmartX, 0.149
1623928889.250, lauv-roald, DVL, 0.000
1623928889.605, lauv-roald, SmartX, 0.159
1623928889.650, lauv-roald, DVL, 0.000
1623928889.850, lauv-roald, DVL, 0.000
1623928890.051, lauv-roald, DVL, 0.000
1623928890.105, lauv-roald, SmartX, 0.149
1623928890.452, lauv-roald, DVL, 0.000
1623928890.606, lauv-roald, SmartX, 0.179
1623928890.653, lauv-roald, DVL, 0.000
1623928890.854, lauv-roald, DVL, 0.000
1623928891.106, lauv-roald, SmartX, 0.189
1623928891.250, lauv-roald, DVL, 0.000
1623928891.454, lauv-roald, DVL, 0.000
1623928891.606, lauv-roald, SmartX, 0.169
1623928891.654, lauv-roald, DVL, 0.000
1623928892.052, lauv-roald, DVL, 0.000
1623928892.105, lauv-roald, SmartX, 0.169
1623928892.253, lauv-roald, DVL, 0.000
1623928892.451, lauv-roald, DVL, 0.000
1623928892.606, lauv-roald, SmartX, 0.159
1623928892.854, lauv-roald, DVL, 0.000
1623928893.052, lauv-roald, DVL, 0.000
1623928893.105, lauv-roald, SmartX, 0.159
1623928893.250, lauv-roald, DVL, 0.000
1623928893.606, lauv-roald, SmartX, 0.169
1623928893.650, lauv-roald, DVL, 0.000
1623928893.850, lauv-roald, DVL, 0.000
1623928894.058, lauv-roald, DVL, 0.000
1623928894.105, lauv-roald, SmartX, 0.169
1623928894.449, lauv-roald, DVL, 0.000
1623928894.606, lauv-roald, SmartX, 0.169
1623928894.650, lauv-roald, DVL, 0.000
1623928894.851, lauv-roald, DVL, 0.000
1623928895.105, lauv-roald, SmartX, 0.169
1623928895.251, lauv-roald, DVL, 0.000
1623928895.448, lauv-roald, DVL, 0.000
1623928895.606, lauv-roald, SmartX, 0.179
1623928895.650, lauv-roald, DVL, 0.000
1623928896.051, lauv-roald, DVL, 0.000
1623928896.105, lauv-roald, SmartX, 0.189
1623928896.249, lauv-roald, DVL, 0.000
1623928896.451, lauv-roald, DVL, 0.000
1623928896.605, lauv-roald, SmartX, 0.169
1623928896.854, lauv-roald, DVL, 0.000
1623928897.051, lauv-roald, DVL, 0.000
1623928897.105, lauv-roald, SmartX, 0.179
1623928897.250, lauv-roald, DVL, 0.000
1623928897.605, lauv-roald, SmartX, 0.189
1623928897.649, lauv-roald, DVL, 0.000
1623928897.852, lauv-roald, DVL, 0.000
1623928898.053, lauv-roald, DVL, 0.000
1623928898.105, lauv-roald, SmartX, 0.169
1623928898.450, lauv-roald, DVL, 0.000
1623928898.605, lauv-roald, SmartX, 0.189
1623928898.652, lauv-roald, DVL, 0.000
1623928898.851, lauv-roald, DVL, 0.000
1623928899.106, lauv-roald, SmartX, 0.199
1623928899.252, lauv-roald, DVL, 0.000
1623928899.452, lauv-roald, DVL, 0.000
1623928899.605, lauv-roald, SmartX, 0.199
1623928899.650, lauv-roald, DVL, 0.000
1623928900.052, lauv-roald, DVL, 0.000
