timestamp, system, entity , value (psu)
1623928841.613, lauv-roald, SmartX, 8.282
1623928842.109, lauv-roald, SmartX, 8.287
1623928842.609, lauv-roald, SmartX, 8.293
1623928843.109, lauv-roald, SmartX, 8.301
1623928843.609, lauv-roald, SmartX, 8.291
1623928844.109, lauv-roald, SmartX, 8.246
1623928844.609, lauv-roald, SmartX, 8.246
1623928845.109, lauv-roald, SmartX, 8.242
1623928845.609, lauv-roald, SmartX, 8.232
1623928846.109, lauv-roald, SmartX, 8.234
1623928846.609, lauv-roald, SmartX, 8.221
1623928847.109, lauv-roald, SmartX, 8.216
1623928847.608, lauv-roald, SmartX, 8.234
1623928848.108, lauv-roald, SmartX, 8.211
1623928848.608, lauv-roald, SmartX, 8.212
1623928849.108, lauv-roald, SmartX, 8.213
1623928849.608, lauv-roald, SmartX, 8.211
1623928850.108, lauv-roald, SmartX, 8.226
1623928850.608, lauv-roald, SmartX, 8.217
1623928851.108, lauv-roald, SmartX, 8.221
1623928851.608, lauv-roald, SmartX, 8.215
1623928852.108, lauv-roald, SmartX, 8.229
1623928852.608, lauv-roald, SmartX, 8.257
1623928853.108, lauv-roald, SmartX, 8.243
1623928853.608, lauv-roald, SmartX, 8.330
1623928854.108, lauv-roald, SmartX, 8.518
1623928854.608, lauv-roald, SmartX, 8.580
1623928855.108, lauv-roald, SmartX, 8.491
1623928855.608, lauv-roald, SmartX, 8.544
1623928856.108, lauv-roald, SmartX, 8.524
1623928856.608, lauv-roald, SmartX, 8.512
1623928857.108, lauv-roald, SmartX, 8.509
1623928857.608, lauv-roald, SmartX, 8.398
1623928858.109, lauv-roald, SmartX, 8.374
1623928858.608, lauv-roald, SmartX, 8.403
1623928859.108, lauv-roald, SmartX, 8.229
1623928859.608, lauv-roald, SmartX, 8.354
1623928860.108, lauv-roald, SmartX, 8.362
1623928860.608, lauv-roald, SmartX, 8.363
1623928861.108, lauv-roald, SmartX, 8.323
1623928861.608, lauv-roald, SmartX, 8.313
1623928862.108, lauv-roald, SmartX, 8.435
1623928862.608, lauv-roald, SmartX, 8.471
1623928863.107, lauv-roald, SmartX, 8.426
1623928863.608, lauv-roald, SmartX, 8.366
1623928864.107, lauv-roald, SmartX, 8.390
1623928864.607, lauv-roald, SmartX, 8.342
1623928865.107, lauv-roald, SmartX, 8.329
1623928865.607, lauv-roald, SmartX, 8.334
