timestamp, system, entity , value (s/m)
1622104187.057, lauv-roald, SmartX, 2.799
1622104187.557, lauv-roald, SmartX, 2.770
1622104188.057, lauv-roald, SmartX, 2.801
1622104188.557, lauv-roald, SmartX, 2.833
1622104189.057, lauv-roald, SmartX, 2.901
1622104189.557, lauv-roald, SmartX, 2.880
1622104190.057, lauv-roald, SmartX, 2.866
1622104190.557, lauv-roald, SmartX, 2.856
1622104191.057, lauv-roald, SmartX, 2.855
1622104191.557, lauv-roald, SmartX, 2.865
1622104192.057, lauv-roald, SmartX, 2.858
1622104192.557, lauv-roald, SmartX, 2.845
1622104193.057, lauv-roald, SmartX, 2.816
1622104193.556, lauv-roald, SmartX, 2.800
1622104194.057, lauv-roald, SmartX, 2.777
1622104194.557, lauv-roald, SmartX, 2.732
1622104195.057, lauv-roald, SmartX, 2.687
1622104195.556, lauv-roald, SmartX, 2.673
1622104196.056, lauv-roald, SmartX, 2.659
1622104196.557, lauv-roald, SmartX, 2.648
1622104197.056, lauv-roald, SmartX, 2.623
1622104197.556, lauv-roald, SmartX, 2.615
1622104198.056, lauv-roald, SmartX, 2.597
1622104198.556, lauv-roald, SmartX, 2.580
1622104199.056, lauv-roald, SmartX, 2.569
1622104199.556, lauv-roald, SmartX, 2.566
1622104200.056, lauv-roald, SmartX, 2.575
1622104200.556, lauv-roald, SmartX, 2.582
1622104201.056, lauv-roald, SmartX, 2.568
1622104201.556, lauv-roald, SmartX, 2.574
1622104202.056, lauv-roald, SmartX, 2.582
1622104202.556, lauv-roald, SmartX, 2.583
1622104203.056, lauv-roald, SmartX, 2.592
1622104203.556, lauv-roald, SmartX, 2.610
1622104204.056, lauv-roald, SmartX, 2.637
1622104204.556, lauv-roald, SmartX, 2.667
1622104205.056, lauv-roald, SmartX, 2.690
1622104205.556, lauv-roald, SmartX, 2.708
1622104206.056, lauv-roald, SmartX, 2.807
1622104206.556, lauv-roald, SmartX, 2.874
1622104207.056, lauv-roald, SmartX, 2.896
1622104207.556, lauv-roald, SmartX, 2.923
1622104208.056, lauv-roald, SmartX, 2.954
1622104208.556, lauv-roald, SmartX, 2.972
1622104209.056, lauv-roald, SmartX, 2.963
1622104209.555, lauv-roald, SmartX, 2.943
1622104210.056, lauv-roald, SmartX, 2.916
1622104210.555, lauv-roald, SmartX, 2.914
1622104211.056, lauv-roald, SmartX, 2.958
1622104211.556, lauv-roald, SmartX, 2.979
1622104212.055, lauv-roald, SmartX, 3.004
1622104212.555, lauv-roald, SmartX, 3.008
1622104213.055, lauv-roald, SmartX, 2.985
1622104213.555, lauv-roald, SmartX, 2.939
1622104214.055, lauv-roald, SmartX, 2.886
1622104214.555, lauv-roald, SmartX, 2.849
1622104215.055, lauv-roald, SmartX, 2.849
1622104215.555, lauv-roald, SmartX, 2.877
1622104216.055, lauv-roald, SmartX, 2.900
1622104216.555, lauv-roald, SmartX, 2.911
1622104217.055, lauv-roald, SmartX, 2.937
1622104217.555, lauv-roald, SmartX, 2.936
1622104218.055, lauv-roald, SmartX, 2.872
1622104218.555, lauv-roald, SmartX, 2.834
1622104219.055, lauv-roald, SmartX, 2.755
1622104219.555, lauv-roald, SmartX, 2.710
1622104220.056, lauv-roald, SmartX, 2.671
1622104220.555, lauv-roald, SmartX, 2.658
1622104221.055, lauv-roald, SmartX, 2.660
1622104221.554, lauv-roald, SmartX, 2.683
1622104222.055, lauv-roald, SmartX, 2.784
1622104222.555, lauv-roald, SmartX, 2.859
1622104223.055, lauv-roald, SmartX, 2.931
1622104223.555, lauv-roald, SmartX, 2.915
1622104224.055, lauv-roald, SmartX, 2.856
1622104224.555, lauv-roald, SmartX, 2.849
1622104225.054, lauv-roald, SmartX, 2.843
1622104225.554, lauv-roald, SmartX, 2.855
1622104226.054, lauv-roald, SmartX, 2.832
1622104226.554, lauv-roald, SmartX, 2.794
1622104227.054, lauv-roald, SmartX, 2.777
1622104227.554, lauv-roald, SmartX, 2.802
1622104228.054, lauv-roald, SmartX, 2.845
1622104228.554, lauv-roald, SmartX, 2.854
1622104229.054, lauv-roald, SmartX, 2.802
1622104229.554, lauv-roald, SmartX, 2.798
1622104230.054, lauv-roald, SmartX, 2.799
1622104230.554, lauv-roald, SmartX, 2.828
1622104231.054, lauv-roald, SmartX, 2.896
1622104231.554, lauv-roald, SmartX, 2.923
1622104232.054, lauv-roald, SmartX, 2.882
1622104232.554, lauv-roald, SmartX, 2.854
1622104233.054, lauv-roald, SmartX, 2.833
1622104233.554, lauv-roald, SmartX, 2.817
1622104234.054, lauv-roald, SmartX, 2.814
1622104234.554, lauv-roald, SmartX, 2.848
1622104235.054, lauv-roald, SmartX, 2.905
1622104235.554, lauv-roald, SmartX, 2.964
1622104236.054, lauv-roald, SmartX, 2.956
1622104236.554, lauv-roald, SmartX, 2.870
1622104237.054, lauv-roald, SmartX, 2.811
1622104237.554, lauv-roald, SmartX, 2.768
1622104238.054, lauv-roald, SmartX, 2.831
1622104238.554, lauv-roald, SmartX, 2.892
1622104239.053, lauv-roald, SmartX, 2.957
1622104239.554, lauv-roald, SmartX, 2.975
1622104240.053, lauv-roald, SmartX, 2.924
1622104240.553, lauv-roald, SmartX, 2.866
1622104241.053, lauv-roald, SmartX, 2.858
1622104241.553, lauv-roald, SmartX, 2.830
1622104242.053, lauv-roald, SmartX, 2.811
1622104242.553, lauv-roald, SmartX, 2.802
1622104243.053, lauv-roald, SmartX, 2.794
1622104243.553, lauv-roald, SmartX, 2.786
1622104244.053, lauv-roald, SmartX, 2.781
1622104244.553, lauv-roald, SmartX, 2.789
1622104245.053, lauv-roald, SmartX, 2.839
1622104245.553, lauv-roald, SmartX, 2.826
1622104246.053, lauv-roald, SmartX, 2.861
1622104246.553, lauv-roald, SmartX, 2.890
1622104247.053, lauv-roald, SmartX, 2.856
1622104247.553, lauv-roald, SmartX, 2.760
1622104248.053, lauv-roald, SmartX, 2.726
1622104248.553, lauv-roald, SmartX, 2.783
1622104249.053, lauv-roald, SmartX, 2.820
1622104249.553, lauv-roald, SmartX, 2.855
1622104250.053, lauv-roald, SmartX, 2.879
1622104250.553, lauv-roald, SmartX, 2.847
1622104251.053, lauv-roald, SmartX, 2.760
1622104251.553, lauv-roald, SmartX, 2.716
1622104252.053, lauv-roald, SmartX, 2.527
1622104252.553, lauv-roald, SmartX, 2.483
1622104253.053, lauv-roald, SmartX, 2.686
1622104253.553, lauv-roald, SmartX, 2.746
1622104254.053, lauv-roald, SmartX, 2.689
1622104254.553, lauv-roald, SmartX, 2.692
1622104255.053, lauv-roald, SmartX, 2.742
1622104255.552, lauv-roald, SmartX, 2.824
1622104256.052, lauv-roald, SmartX, 2.901
1622104256.553, lauv-roald, SmartX, 2.911
1622104257.052, lauv-roald, SmartX, 2.870
1622104257.552, lauv-roald, SmartX, 2.756
1622104258.052, lauv-roald, SmartX, 2.714
1622104258.552, lauv-roald, SmartX, 2.781
1622104259.052, lauv-roald, SmartX, 2.853
1622104259.552, lauv-roald, SmartX, 2.872
1622104260.052, lauv-roald, SmartX, 2.874
1622104260.552, lauv-roald, SmartX, 2.871
1622104261.052, lauv-roald, SmartX, 2.884
1622104261.552, lauv-roald, SmartX, 2.910
1622104262.052, lauv-roald, SmartX, 2.909
1622104262.552, lauv-roald, SmartX, 2.884
1622104263.052, lauv-roald, SmartX, 2.856
1622104263.552, lauv-roald, SmartX, 2.861
1622104264.052, lauv-roald, SmartX, 2.911
1622104264.552, lauv-roald, SmartX, 2.951
1622104265.052, lauv-roald, SmartX, 2.968
1622104265.552, lauv-roald, SmartX, 2.912
1622104266.052, lauv-roald, SmartX, 2.874
1622104266.552, lauv-roald, SmartX, 2.861
1622104267.052, lauv-roald, SmartX, 2.888
1622104267.552, lauv-roald, SmartX, 2.891
1622104268.052, lauv-roald, SmartX, 2.867
1622104268.552, lauv-roald, SmartX, 2.866
1622104269.052, lauv-roald, SmartX, 2.865
1622104269.551, lauv-roald, SmartX, 2.847
1622104270.051, lauv-roald, SmartX, 2.850
1622104270.552, lauv-roald, SmartX, 2.862
1622104271.051, lauv-roald, SmartX, 2.878
1622104271.551, lauv-roald, SmartX, 2.926
1622104272.051, lauv-roald, SmartX, 2.964
1622104272.551, lauv-roald, SmartX, 2.973
1622104273.051, lauv-roald, SmartX, 2.937
1622104273.551, lauv-roald, SmartX, 2.815
1622104274.051, lauv-roald, SmartX, 2.825
1622104274.551, lauv-roald, SmartX, 2.877
1622104275.051, lauv-roald, SmartX, 2.937
1622104275.551, lauv-roald, SmartX, 2.968
1622104276.051, lauv-roald, SmartX, 2.986
1622104276.551, lauv-roald, SmartX, 2.991
1622104277.051, lauv-roald, SmartX, 2.989
1622104277.551, lauv-roald, SmartX, 2.995
1622104278.051, lauv-roald, SmartX, 3.002
1622104278.551, lauv-roald, SmartX, 3.001
1622104279.051, lauv-roald, SmartX, 3.003
1622104279.551, lauv-roald, SmartX, 3.007
1622104280.051, lauv-roald, SmartX, 2.998
1622104280.551, lauv-roald, SmartX, 2.928
1622104281.051, lauv-roald, SmartX, 2.866
1622104281.551, lauv-roald, SmartX, 2.870
1622104282.051, lauv-roald, SmartX, 2.927
