timestamp, system, entity , value (m)
1622104186.745, lauv-roald, DVL, 0.027
1622104187.057, lauv-roald, SmartX, 0.378
1622104187.147, lauv-roald, DVL, 0.029
1622104187.349, lauv-roald, DVL, 0.023
1622104187.546, lauv-roald, DVL, 0.029
1622104187.557, lauv-roald, SmartX, 0.418
1622104187.947, lauv-roald, DVL, 0.039
1622104188.057, lauv-roald, SmartX, 0.438
1622104188.148, lauv-roald, DVL, 0.064
1622104188.348, lauv-roald, DVL, 0.055
1622104188.557, lauv-roald, SmartX, 0.458
1622104188.744, lauv-roald, DVL, 0.067
1622104188.948, lauv-roald, DVL, 0.060
1622104189.057, lauv-roald, SmartX, 0.438
1622104189.147, lauv-roald, DVL, 0.057
1622104189.546, lauv-roald, DVL, 0.052
1622104189.557, lauv-roald, SmartX, 0.408
1622104189.747, lauv-roald, DVL, 0.058
1622104189.947, lauv-roald, DVL, 0.052
1622104190.057, lauv-roald, SmartX, 0.378
1622104190.347, lauv-roald, DVL, 0.046
1622104190.546, lauv-roald, DVL, 0.044
1622104190.557, lauv-roald, SmartX, 0.408
1622104190.746, lauv-roald, DVL, 0.045
1622104191.057, lauv-roald, SmartX, 0.428
1622104191.148, lauv-roald, DVL, 0.045
1622104191.344, lauv-roald, DVL, 0.046
1622104191.547, lauv-roald, DVL, 0.048
1622104191.557, lauv-roald, SmartX, 0.388
1622104191.949, lauv-roald, DVL, 0.038
1622104192.057, lauv-roald, SmartX, 0.348
1622104192.145, lauv-roald, DVL, 0.037
1622104192.348, lauv-roald, DVL, 0.025
1622104192.557, lauv-roald, SmartX, 0.338
1622104192.746, lauv-roald, DVL, 0.004
1622104192.949, lauv-roald, DVL, 0.000
1622104193.057, lauv-roald, SmartX, 0.328
1622104193.144, lauv-roald, DVL, 0.000
1622104193.545, lauv-roald, DVL, 0.000
1622104193.557, lauv-roald, SmartX, 0.289
1622104193.744, lauv-roald, DVL, 0.000
1622104193.947, lauv-roald, DVL, 0.000
1622104194.057, lauv-roald, SmartX, 0.279
1622104194.347, lauv-roald, DVL, 0.000
1622104194.547, lauv-roald, DVL, 0.000
1622104194.557, lauv-roald, SmartX, 0.289
1622104194.746, lauv-roald, DVL, 0.000
1622104195.057, lauv-roald, SmartX, 0.289
1622104195.148, lauv-roald, DVL, 0.000
1622104195.349, lauv-roald, DVL, 0.000
1622104195.546, lauv-roald, DVL, 0.000
1622104195.557, lauv-roald, SmartX, 0.289
1622104195.944, lauv-roald, DVL, 0.000
1622104196.057, lauv-roald, SmartX, 0.279
1622104196.146, lauv-roald, DVL, 0.000
1622104196.349, lauv-roald, DVL, 0.000
1622104196.557, lauv-roald, SmartX, 0.289
1622104196.747, lauv-roald, DVL, 0.000
1622104196.946, lauv-roald, DVL, 0.000
1622104197.057, lauv-roald, SmartX, 0.298
1622104197.147, lauv-roald, DVL, 0.000
1622104197.548, lauv-roald, DVL, 0.000
1622104197.557, lauv-roald, SmartX, 0.298
1622104197.748, lauv-roald, DVL, 0.000
1622104197.946, lauv-roald, DVL, 0.000
1622104198.057, lauv-roald, SmartX, 0.289
1622104198.347, lauv-roald, DVL, 0.000
1622104198.548, lauv-roald, DVL, 0.000
1622104198.557, lauv-roald, SmartX, 0.289
1622104198.746, lauv-roald, DVL, 0.000
1622104199.056, lauv-roald, SmartX, 0.289
1622104199.146, lauv-roald, DVL, 0.000
1622104199.344, lauv-roald, DVL, 0.000
1622104199.545, lauv-roald, DVL, 0.000
1622104199.556, lauv-roald, SmartX, 0.318
1622104199.947, lauv-roald, DVL, 0.000
1622104200.057, lauv-roald, SmartX, 0.308
1622104200.147, lauv-roald, DVL, 0.000
1622104200.348, lauv-roald, DVL, 0.000
1622104200.556, lauv-roald, SmartX, 0.298
1622104200.749, lauv-roald, DVL, 0.000
1622104200.946, lauv-roald, DVL, 0.000
1622104201.056, lauv-roald, SmartX, 0.308
1622104201.146, lauv-roald, DVL, 0.000
1622104201.548, lauv-roald, DVL, 0.000
1622104201.556, lauv-roald, SmartX, 0.328
1622104201.744, lauv-roald, DVL, 0.000
1622104201.947, lauv-roald, DVL, 0.000
1622104202.056, lauv-roald, SmartX, 0.328
1622104202.347, lauv-roald, DVL, 0.000
1622104202.547, lauv-roald, DVL, 0.000
1622104202.556, lauv-roald, SmartX, 0.348
1622104202.748, lauv-roald, DVL, 0.008
1622104203.056, lauv-roald, SmartX, 0.348
1622104203.146, lauv-roald, DVL, 0.001
1622104203.345, lauv-roald, DVL, 0.001
1622104203.548, lauv-roald, DVL, 0.000
1622104203.556, lauv-roald, SmartX, 0.348
1622104203.946, lauv-roald, DVL, 0.005
1622104204.056, lauv-roald, SmartX, 0.348
1622104204.147, lauv-roald, DVL, 0.000
1622104204.349, lauv-roald, DVL, 0.001
1622104204.556, lauv-roald, SmartX, 0.388
1622104204.745, lauv-roald, DVL, 0.000
1622104204.950, lauv-roald, DVL, 0.000
1622104205.056, lauv-roald, SmartX, 0.388
1622104205.144, lauv-roald, DVL, 0.000
1622104205.547, lauv-roald, DVL, 0.007
1622104205.556, lauv-roald, SmartX, 0.438
1622104205.747, lauv-roald, DVL, 0.040
1622104205.948, lauv-roald, DVL, 0.044
1622104206.056, lauv-roald, SmartX, 0.458
1622104206.346, lauv-roald, DVL, 0.058
1622104206.547, lauv-roald, DVL, 0.079
1622104206.556, lauv-roald, SmartX, 0.478
1622104206.749, lauv-roald, DVL, 0.087
1622104207.056, lauv-roald, SmartX, 0.507
1622104207.148, lauv-roald, DVL, 0.098
1622104207.348, lauv-roald, DVL, 0.108
1622104207.546, lauv-roald, DVL, 0.115
1622104207.556, lauv-roald, SmartX, 0.517
1622104207.947, lauv-roald, DVL, 0.115
1622104208.056, lauv-roald, SmartX, 0.537
1622104208.147, lauv-roald, DVL, 0.113
1622104208.348, lauv-roald, DVL, 0.100
1622104208.556, lauv-roald, SmartX, 0.517
1622104208.747, lauv-roald, DVL, 0.084
1622104208.946, lauv-roald, DVL, 0.079
1622104209.056, lauv-roald, SmartX, 0.487
1622104209.145, lauv-roald, DVL, 0.061
1622104209.548, lauv-roald, DVL, 0.050
1622104209.556, lauv-roald, SmartX, 0.458
1622104209.746, lauv-roald, DVL, 0.056
1622104209.947, lauv-roald, DVL, 0.049
1622104210.056, lauv-roald, SmartX, 0.458
1622104210.347, lauv-roald, DVL, 0.071
1622104210.546, lauv-roald, DVL, 0.086
1622104210.556, lauv-roald, SmartX, 0.537
1622104210.747, lauv-roald, DVL, 0.126
1622104211.056, lauv-roald, SmartX, 0.607
1622104211.149, lauv-roald, DVL, 0.165
1622104211.349, lauv-roald, DVL, 0.179
1622104211.556, lauv-roald, SmartX, 0.637
1622104211.556, lauv-roald, DVL, 0.183
1622104211.949, lauv-roald, DVL, 0.207
1622104212.055, lauv-roald, SmartX, 0.637
1622104212.150, lauv-roald, DVL, 0.224
1622104212.348, lauv-roald, DVL, 0.216
1622104212.555, lauv-roald, SmartX, 0.607
1622104212.748, lauv-roald, DVL, 0.185
1622104212.948, lauv-roald, DVL, 0.155
1622104213.056, lauv-roald, SmartX, 0.527
1622104213.149, lauv-roald, DVL, 0.136
1622104213.550, lauv-roald, DVL, 0.105
1622104213.556, lauv-roald, SmartX, 0.478
1622104213.746, lauv-roald, DVL, 0.084
1622104213.948, lauv-roald, DVL, 0.087
1622104214.055, lauv-roald, SmartX, 0.478
1622104214.346, lauv-roald, DVL, 0.063
1622104214.548, lauv-roald, DVL, 0.059
1622104214.555, lauv-roald, SmartX, 0.478
1622104214.750, lauv-roald, DVL, 0.059
1622104215.055, lauv-roald, SmartX, 0.507
1622104215.146, lauv-roald, DVL, 0.077
1622104215.349, lauv-roald, DVL, 0.085
1622104215.548, lauv-roald, DVL, 0.087
1622104215.555, lauv-roald, SmartX, 0.537
1622104215.948, lauv-roald, DVL, 0.121
1622104216.055, lauv-roald, SmartX, 0.577
1622104216.147, lauv-roald, DVL, 0.138
1622104216.347, lauv-roald, DVL, 0.148
1622104216.555, lauv-roald, SmartX, 0.577
1622104216.749, lauv-roald, DVL, 0.174
1622104216.945, lauv-roald, DVL, 0.179
1622104217.055, lauv-roald, SmartX, 0.607
1622104217.148, lauv-roald, DVL, 0.189
1622104217.549, lauv-roald, DVL, 0.185
1622104217.555, lauv-roald, SmartX, 0.577
1622104217.749, lauv-roald, DVL, 0.171
1622104217.948, lauv-roald, DVL, 0.154
1622104218.055, lauv-roald, SmartX, 0.557
1622104218.349, lauv-roald, DVL, 0.122
1622104218.548, lauv-roald, DVL, 0.110
1622104218.555, lauv-roald, SmartX, 0.537
1622104218.748, lauv-roald, DVL, 0.091
1622104219.055, lauv-roald, SmartX, 0.497
1622104219.150, lauv-roald, DVL, 0.082
1622104219.348, lauv-roald, DVL, 0.071
1622104219.548, lauv-roald, DVL, 0.065
1622104219.555, lauv-roald, SmartX, 0.507
1622104219.948, lauv-roald, DVL, 0.074
1622104220.056, lauv-roald, SmartX, 0.497
1622104220.148, lauv-roald, DVL, 0.063
1622104220.347, lauv-roald, DVL, 0.078
1622104220.555, lauv-roald, SmartX, 0.478
