timestamp, system, entity , value (µm)
1622104187.293, lauv-roald, Oxygen Sensor, 308.891
1622104188.293, lauv-roald, Oxygen Sensor, 311.743
1622104189.293, lauv-roald, Oxygen Sensor, 312.169
1622104190.293, lauv-roald, Oxygen Sensor, 308.955
1622104191.293, lauv-roald, Oxygen Sensor, 310.438
1622104192.293, lauv-roald, Oxygen Sensor, 309.931
1622104193.293, lauv-roald, Oxygen Sensor, 309.668
1622104194.293, lauv-roald, Oxygen Sensor, 310.414
1622104195.293, lauv-roald, Oxygen Sensor, 310.613
1622104196.293, lauv-roald, Oxygen Sensor, 311.935
1622104197.293, lauv-roald, Oxygen Sensor, 311.863
1622104198.293, lauv-roald, Oxygen Sensor, 312.049
1622104199.293, lauv-roald, Oxygen Sensor, 312.147
1622104200.293, lauv-roald, Oxygen Sensor, 312.315
1622104201.293, lauv-roald, Oxygen Sensor, 311.754
1622104202.293, lauv-roald, Oxygen Sensor, 311.636
1622104203.293, lauv-roald, Oxygen Sensor, 311.359
1622104204.293, lauv-roald, Oxygen Sensor, 311.165
1622104205.293, lauv-roald, Oxygen Sensor, 310.626
1622104206.292, lauv-roald, Oxygen Sensor, 311.136
1622104207.292, lauv-roald, Oxygen Sensor, 309.176
1622104208.292, lauv-roald, Oxygen Sensor, 308.160
1622104209.292, lauv-roald, Oxygen Sensor, 307.750
1622104210.292, lauv-roald, Oxygen Sensor, 307.716
1622104211.293, lauv-roald, Oxygen Sensor, 310.071
1622104212.293, lauv-roald, Oxygen Sensor, 308.875
1622104213.292, lauv-roald, Oxygen Sensor, 309.118
1622104214.292, lauv-roald, Oxygen Sensor, 307.935
1622104215.292, lauv-roald, Oxygen Sensor, 310.854
1622104216.292, lauv-roald, Oxygen Sensor, 312.568
1622104217.292, lauv-roald, Oxygen Sensor, 311.494
1622104218.292, lauv-roald, Oxygen Sensor, 309.093
1622104219.292, lauv-roald, Oxygen Sensor, 310.509
1622104220.292, lauv-roald, Oxygen Sensor, 313.121
1622104221.292, lauv-roald, Oxygen Sensor, 314.616
1622104222.292, lauv-roald, Oxygen Sensor, 316.333
1622104223.292, lauv-roald, Oxygen Sensor, 313.029
1622104224.292, lauv-roald, Oxygen Sensor, 308.579
1622104225.292, lauv-roald, Oxygen Sensor, 311.275
1622104226.292, lauv-roald, Oxygen Sensor, 311.456
1622104227.292, lauv-roald, Oxygen Sensor, 311.536
1622104228.292, lauv-roald, Oxygen Sensor, 313.395
