timestamp, system, entity , x (m/s), y (m/s), z (m/s)
1622105343.039, lauv-roald, Navigation, 0.33950792, -0.06514093, 0.00000000
1622106426.039, lauv-roald, Navigation, 0.07726630, 0.12893959, 0.00000000
1622109904.039, lauv-roald, Navigation, 0.07525992, 0.08914048, 0.00000000
1622109915.039, lauv-roald, Navigation, 0.06271660, 0.08702045, 0.00000000
1622109926.039, lauv-roald, Navigation, 0.05327459, 0.08117549, 0.00000000
1622109936.089, lauv-roald, Navigation, 0.04429658, 0.08503864, 0.00000000
1622109947.039, lauv-roald, Navigation, 0.03899884, 0.08543197, 0.00000000
1622109957.040, lauv-roald, Navigation, 0.03417137, 0.08602240, 0.00000000
1622113745.039, lauv-roald, Navigation, -0.09111864, -0.02990305, 0.00000000
1622117088.039, lauv-roald, Navigation, 0.04943714, -0.03979209, 0.00000000
1622117141.039, lauv-roald, Navigation, 0.77882638, 0.29773105, 0.00000000
1622117152.039, lauv-roald, Navigation, 0.79803099, 0.28353856, 0.00000000
1622117162.039, lauv-roald, Navigation, 0.80875084, 0.27047178, 0.00000000
1622117172.039, lauv-roald, Navigation, 0.81620743, 0.26324087, 0.00000000
1622117183.039, lauv-roald, Navigation, 0.81982214, 0.25610655, 0.00000000
1622117193.039, lauv-roald, Navigation, 0.82662388, 0.25144678, 0.00000000
1622117204.039, lauv-roald, Navigation, 0.87601720, 0.23387190, 0.00000000
