timestamp, system, entity , value (psu)
1622104187.057, lauv-roald, SmartX, 24.035
1622104187.557, lauv-roald, SmartX, 23.773
1622104188.057, lauv-roald, SmartX, 24.041
1622104188.557, lauv-roald, SmartX, 24.318
1622104189.057, lauv-roald, SmartX, 24.917
1622104189.557, lauv-roald, SmartX, 24.767
1622104190.057, lauv-roald, SmartX, 24.652
1622104190.557, lauv-roald, SmartX, 24.560
1622104191.057, lauv-roald, SmartX, 24.543
1622104191.557, lauv-roald, SmartX, 24.608
1622104192.057, lauv-roald, SmartX, 24.575
1622104192.557, lauv-roald, SmartX, 24.481
1622104193.057, lauv-roald, SmartX, 24.208
1622104193.557, lauv-roald, SmartX, 24.054
1622104194.057, lauv-roald, SmartX, 23.849
1622104194.557, lauv-roald, SmartX, 23.426
1622104195.057, lauv-roald, SmartX, 22.997
1622104195.557, lauv-roald, SmartX, 22.873
1622104196.057, lauv-roald, SmartX, 22.739
1622104196.557, lauv-roald, SmartX, 22.640
1622104197.057, lauv-roald, SmartX, 22.410
1622104197.557, lauv-roald, SmartX, 22.338
1622104198.057, lauv-roald, SmartX, 22.165
1622104198.557, lauv-roald, SmartX, 22.009
1622104199.057, lauv-roald, SmartX, 21.914
1622104199.556, lauv-roald, SmartX, 21.887
1622104200.057, lauv-roald, SmartX, 21.967
1622104200.556, lauv-roald, SmartX, 22.039
1622104201.056, lauv-roald, SmartX, 21.901
1622104201.556, lauv-roald, SmartX, 21.958
1622104202.056, lauv-roald, SmartX, 22.038
1622104202.556, lauv-roald, SmartX, 22.046
1622104203.056, lauv-roald, SmartX, 22.128
1622104203.556, lauv-roald, SmartX, 22.290
1622104204.056, lauv-roald, SmartX, 22.530
1622104204.556, lauv-roald, SmartX, 22.810
1622104205.056, lauv-roald, SmartX, 23.023
1622104205.556, lauv-roald, SmartX, 23.189
1622104206.056, lauv-roald, SmartX, 24.058
1622104206.556, lauv-roald, SmartX, 24.663
1622104207.056, lauv-roald, SmartX, 24.854
1622104207.556, lauv-roald, SmartX, 25.099
1622104208.056, lauv-roald, SmartX, 25.382
1622104208.556, lauv-roald, SmartX, 25.553
1622104209.056, lauv-roald, SmartX, 25.482
1622104209.556, lauv-roald, SmartX, 25.315
1622104210.056, lauv-roald, SmartX, 25.093
1622104210.556, lauv-roald, SmartX, 25.066
1622104211.056, lauv-roald, SmartX, 25.424
1622104211.556, lauv-roald, SmartX, 25.618
1622104212.055, lauv-roald, SmartX, 25.865
1622104212.555, lauv-roald, SmartX, 25.874
1622104213.056, lauv-roald, SmartX, 25.683
1622104213.556, lauv-roald, SmartX, 25.332
1622104214.055, lauv-roald, SmartX, 24.863
1622104214.555, lauv-roald, SmartX, 24.509
1622104215.055, lauv-roald, SmartX, 24.502
1622104215.555, lauv-roald, SmartX, 24.766
1622104216.055, lauv-roald, SmartX, 24.962
1622104216.555, lauv-roald, SmartX, 25.068
1622104217.055, lauv-roald, SmartX, 25.280
1622104217.555, lauv-roald, SmartX, 25.293
1622104218.055, lauv-roald, SmartX, 24.750
1622104218.555, lauv-roald, SmartX, 24.398
1622104219.055, lauv-roald, SmartX, 23.688
1622104219.555, lauv-roald, SmartX, 23.269
1622104220.056, lauv-roald, SmartX, 22.910
1622104220.555, lauv-roald, SmartX, 22.792
1622104221.055, lauv-roald, SmartX, 22.796
1622104221.555, lauv-roald, SmartX, 23.000
1622104222.055, lauv-roald, SmartX, 23.880
1622104222.555, lauv-roald, SmartX, 24.520
1622104223.055, lauv-roald, SmartX, 25.199
1622104223.555, lauv-roald, SmartX, 25.115
1622104224.055, lauv-roald, SmartX, 24.597
1622104224.555, lauv-roald, SmartX, 24.524
1622104225.055, lauv-roald, SmartX, 24.466
1622104225.555, lauv-roald, SmartX, 24.571
1622104226.055, lauv-roald, SmartX, 24.379
1622104226.555, lauv-roald, SmartX, 24.033
1622104227.055, lauv-roald, SmartX, 23.870
1622104227.555, lauv-roald, SmartX, 24.087
1622104228.055, lauv-roald, SmartX, 24.466
1622104228.555, lauv-roald, SmartX, 24.574
1622104229.054, lauv-roald, SmartX, 24.098
1622104229.554, lauv-roald, SmartX, 24.063
1622104230.054, lauv-roald, SmartX, 24.066
1622104230.554, lauv-roald, SmartX, 24.295
1622104231.054, lauv-roald, SmartX, 24.883
1622104231.554, lauv-roald, SmartX, 25.140
1622104232.054, lauv-roald, SmartX, 24.836
1622104232.554, lauv-roald, SmartX, 24.573
1622104233.054, lauv-roald, SmartX, 24.384
1622104233.554, lauv-roald, SmartX, 24.231
1622104234.054, lauv-roald, SmartX, 24.198
1622104234.554, lauv-roald, SmartX, 24.480
1622104235.054, lauv-roald, SmartX, 24.934
1622104235.554, lauv-roald, SmartX, 25.468
1622104236.054, lauv-roald, SmartX, 25.449
1622104236.554, lauv-roald, SmartX, 24.713
1622104237.054, lauv-roald, SmartX, 24.167
1622104237.554, lauv-roald, SmartX, 23.765
1622104238.054, lauv-roald, SmartX, 24.291
1622104238.554, lauv-roald, SmartX, 24.793
1622104239.054, lauv-roald, SmartX, 25.389
1622104239.554, lauv-roald, SmartX, 25.582
1622104240.054, lauv-roald, SmartX, 25.212
1622104240.554, lauv-roald, SmartX, 24.688
1622104241.054, lauv-roald, SmartX, 24.624
1622104241.554, lauv-roald, SmartX, 24.366
1622104242.054, lauv-roald, SmartX, 24.197
1622104242.553, lauv-roald, SmartX, 24.107
1622104243.054, lauv-roald, SmartX, 24.039
