timestamp, system, entity , value (ntu)
1622104187.057, lauv-roald, SmartX, 3.000
1622104187.557, lauv-roald, SmartX, 2.800
1622104188.057, lauv-roald, SmartX, 2.800
1622104188.557, lauv-roald, SmartX, 3.000
1622104189.057, lauv-roald, SmartX, 3.000
1622104189.557, lauv-roald, SmartX, 3.400
1622104190.057, lauv-roald, SmartX, 2.800
1622104190.557, lauv-roald, SmartX, 2.800
1622104191.057, lauv-roald, SmartX, 3.200
1622104191.557, lauv-roald, SmartX, 2.800
1622104192.057, lauv-roald, SmartX, 2.600
1622104192.557, lauv-roald, SmartX, 3.400
1622104193.057, lauv-roald, SmartX, 2.600
1622104193.556, lauv-roald, SmartX, 3.600
1622104194.057, lauv-roald, SmartX, 2.600
1622104194.557, lauv-roald, SmartX, 2.800
1622104195.057, lauv-roald, SmartX, 2.600
1622104195.557, lauv-roald, SmartX, 5.400
1622104196.057, lauv-roald, SmartX, 2.800
1622104196.557, lauv-roald, SmartX, 2.600
1622104197.056, lauv-roald, SmartX, 2.600
1622104197.556, lauv-roald, SmartX, 3.000
1622104198.056, lauv-roald, SmartX, 2.600
1622104198.556, lauv-roald, SmartX, 2.600
1622104199.056, lauv-roald, SmartX, 2.600
1622104199.556, lauv-roald, SmartX, 2.600
1622104200.056, lauv-roald, SmartX, 3.000
1622104200.556, lauv-roald, SmartX, 2.600
1622104201.056, lauv-roald, SmartX, 2.800
1622104201.556, lauv-roald, SmartX, 2.400
1622104202.056, lauv-roald, SmartX, 2.400
1622104202.556, lauv-roald, SmartX, 2.200
1622104203.056, lauv-roald, SmartX, 2.400
1622104203.556, lauv-roald, SmartX, 2.800
1622104204.056, lauv-roald, SmartX, 2.600
1622104204.556, lauv-roald, SmartX, 2.400
1622104205.056, lauv-roald, SmartX, 2.400
1622104205.556, lauv-roald, SmartX, 2.600
1622104206.056, lauv-roald, SmartX, 2.800
1622104206.556, lauv-roald, SmartX, 3.000
1622104207.056, lauv-roald, SmartX, 3.000
1622104207.556, lauv-roald, SmartX, 3.000
1622104208.056, lauv-roald, SmartX, 3.800
1622104208.556, lauv-roald, SmartX, 3.000
1622104209.056, lauv-roald, SmartX, 3.400
1622104209.556, lauv-roald, SmartX, 3.600
1622104210.056, lauv-roald, SmartX, 3.400
1622104210.556, lauv-roald, SmartX, 3.400
1622104211.056, lauv-roald, SmartX, 3.200
1622104211.556, lauv-roald, SmartX, 3.400
1622104212.055, lauv-roald, SmartX, 3.400
1622104212.555, lauv-roald, SmartX, 3.400
1622104213.055, lauv-roald, SmartX, 3.400
1622104213.555, lauv-roald, SmartX, 3.600
1622104214.055, lauv-roald, SmartX, 3.200
1622104214.555, lauv-roald, SmartX, 2.800
1622104215.055, lauv-roald, SmartX, 3.200
1622104215.555, lauv-roald, SmartX, 3.000
1622104216.055, lauv-roald, SmartX, 3.000
1622104216.555, lauv-roald, SmartX, 3.200
1622104217.055, lauv-roald, SmartX, 3.000
1622104217.555, lauv-roald, SmartX, 3.200
1622104218.055, lauv-roald, SmartX, 3.000
1622104218.555, lauv-roald, SmartX, 2.600
1622104219.055, lauv-roald, SmartX, 2.800
1622104219.555, lauv-roald, SmartX, 2.800
1622104220.056, lauv-roald, SmartX, 2.800
1622104220.555, lauv-roald, SmartX, 2.600
1622104221.055, lauv-roald, SmartX, 3.000
1622104221.555, lauv-roald, SmartX, 2.600
1622104222.055, lauv-roald, SmartX, 2.800
1622104222.555, lauv-roald, SmartX, 3.200
1622104223.055, lauv-roald, SmartX, 3.000
1622104223.555, lauv-roald, SmartX, 3.200
1622104224.055, lauv-roald, SmartX, 3.000
1622104224.555, lauv-roald, SmartX, 3.000
1622104225.055, lauv-roald, SmartX, 2.800
1622104225.554, lauv-roald, SmartX, 3.200
1622104226.055, lauv-roald, SmartX, 2.600
1622104226.554, lauv-roald, SmartX, 3.000
1622104227.054, lauv-roald, SmartX, 3.200
1622104227.554, lauv-roald, SmartX, 2.800
1622104228.054, lauv-roald, SmartX, 3.200
1622104228.554, lauv-roald, SmartX, 3.200
1622104229.054, lauv-roald, SmartX, 3.400
1622104229.554, lauv-roald, SmartX, 2.800
1622104230.054, lauv-roald, SmartX, 3.000
1622104230.554, lauv-roald, SmartX, 2.800
1622104231.054, lauv-roald, SmartX, 3.000
1622104231.554, lauv-roald, SmartX, 2.600
1622104232.054, lauv-roald, SmartX, 2.800
1622104232.554, lauv-roald, SmartX, 3.000
1622104233.054, lauv-roald, SmartX, 3.000
1622104233.554, lauv-roald, SmartX, 2.800
1622104234.054, lauv-roald, SmartX, 3.000
1622104234.554, lauv-roald, SmartX, 2.800
1622104235.054, lauv-roald, SmartX, 3.400
1622104235.554, lauv-roald, SmartX, 3.200
1622104236.054, lauv-roald, SmartX, 3.200
1622104236.554, lauv-roald, SmartX, 3.000
1622104237.054, lauv-roald, SmartX, 3.000
1622104237.554, lauv-roald, SmartX, 2.800
1622104238.054, lauv-roald, SmartX, 3.200
1622104238.554, lauv-roald, SmartX, 3.400
1622104239.054, lauv-roald, SmartX, 3.000
1622104239.554, lauv-roald, SmartX, 3.200
1622104240.053, lauv-roald, SmartX, 3.800
1622104240.553, lauv-roald, SmartX, 3.000
1622104241.053, lauv-roald, SmartX, 2.600
1622104241.553, lauv-roald, SmartX, 3.000
1622104242.054, lauv-roald, SmartX, 3.000
1622104242.553, lauv-roald, SmartX, 2.800
1622104243.053, lauv-roald, SmartX, 2.600
1622104243.553, lauv-roald, SmartX, 2.600
1622104244.053, lauv-roald, SmartX, 2.800
1622104244.553, lauv-roald, SmartX, 2.600
1622104245.053, lauv-roald, SmartX, 2.800
1622104245.553, lauv-roald, SmartX, 2.600
1622104246.053, lauv-roald, SmartX, 2.800
1622104246.553, lauv-roald, SmartX, 3.000
1622104247.053, lauv-roald, SmartX, 3.200
1622104247.553, lauv-roald, SmartX, 3.200
1622104248.053, lauv-roald, SmartX, 2.400
1622104248.553, lauv-roald, SmartX, 2.600
1622104249.053, lauv-roald, SmartX, 2.800
1622104249.553, lauv-roald, SmartX, 2.800
1622104250.053, lauv-roald, SmartX, 2.800
1622104250.553, lauv-roald, SmartX, 3.000
1622104251.053, lauv-roald, SmartX, 3.000
1622104251.553, lauv-roald, SmartX, 2.600
1622104252.053, lauv-roald, SmartX, 2.400
1622104252.553, lauv-roald, SmartX, 2.400
1622104253.053, lauv-roald, SmartX, 2.800
1622104253.553, lauv-roald, SmartX, 2.600
1622104254.053, lauv-roald, SmartX, 2.800
1622104254.553, lauv-roald, SmartX, 2.600
1622104255.053, lauv-roald, SmartX, 2.800
1622104255.553, lauv-roald, SmartX, 2.800
1622104256.052, lauv-roald, SmartX, 2.800
1622104256.553, lauv-roald, SmartX, 3.800
1622104257.052, lauv-roald, SmartX, 3.200
1622104257.553, lauv-roald, SmartX, 3.000
1622104258.052, lauv-roald, SmartX, 2.400
1622104258.552, lauv-roald, SmartX, 2.600
1622104259.052, lauv-roald, SmartX, 3.000
1622104259.552, lauv-roald, SmartX, 3.000
1622104260.052, lauv-roald, SmartX, 2.800
1622104260.552, lauv-roald, SmartX, 2.800
1622104261.052, lauv-roald, SmartX, 3.000
1622104261.552, lauv-roald, SmartX, 3.000
1622104262.052, lauv-roald, SmartX, 3.000
1622104262.552, lauv-roald, SmartX, 2.800
1622104263.052, lauv-roald, SmartX, 2.800
1622104263.552, lauv-roald, SmartX, 2.800
1622104264.052, lauv-roald, SmartX, 2.800
1622104264.552, lauv-roald, SmartX, 3.400
1622104265.052, lauv-roald, SmartX, 2.800
1622104265.552, lauv-roald, SmartX, 3.000
1622104266.052, lauv-roald, SmartX, 2.800
1622104266.552, lauv-roald, SmartX, 3.000
1622104267.052, lauv-roald, SmartX, 2.600
1622104267.552, lauv-roald, SmartX, 3.000
1622104268.052, lauv-roald, SmartX, 3.000
1622104268.552, lauv-roald, SmartX, 3.200
1622104269.052, lauv-roald, SmartX, 2.600
1622104269.551, lauv-roald, SmartX, 2.800
1622104270.051, lauv-roald, SmartX, 3.000
1622104270.552, lauv-roald, SmartX, 3.200
1622104271.051, lauv-roald, SmartX, 3.000
1622104271.551, lauv-roald, SmartX, 3.000
1622104272.052, lauv-roald, SmartX, 3.000
1622104272.552, lauv-roald, SmartX, 2.800
1622104273.052, lauv-roald, SmartX, 3.400
1622104273.551, lauv-roald, SmartX, 3.200
1622104274.051, lauv-roald, SmartX, 2.800
1622104274.551, lauv-roald, SmartX, 3.000
1622104275.051, lauv-roald, SmartX, 3.200
1622104275.551, lauv-roald, SmartX, 3.400
1622104276.051, lauv-roald, SmartX, 3.400
1622104276.551, lauv-roald, SmartX, 3.400
1622104277.051, lauv-roald, SmartX, 3.200
1622104277.551, lauv-roald, SmartX, 3.200
1622104278.051, lauv-roald, SmartX, 4.200
1622104278.551, lauv-roald, SmartX, 3.200
1622104279.051, lauv-roald, SmartX, 3.200
1622104279.551, lauv-roald, SmartX, 3.200
1622104280.051, lauv-roald, SmartX, 3.200
1622104280.551, lauv-roald, SmartX, 3.600
1622104281.051, lauv-roald, SmartX, 3.000
1622104281.551, lauv-roald, SmartX, 2.800
1622104282.051, lauv-roald, SmartX, 2.800
1622104282.551, lauv-roald, SmartX, 3.000
1622104283.051, lauv-roald, SmartX, 3.200
1622104283.551, lauv-roald, SmartX, 2.600
1622104284.051, lauv-roald, SmartX, 3.000
1622104284.551, lauv-roald, SmartX, 3.000
1622104285.050, lauv-roald, SmartX, 2.600
1622104285.551, lauv-roald, SmartX, 3.000
1622104286.051, lauv-roald, SmartX, 3.000
1622104286.551, lauv-roald, SmartX, 3.000
1622104287.050, lauv-roald, SmartX, 3.200
1622104287.551, lauv-roald, SmartX, 3.200
1622104288.050, lauv-roald, SmartX, 3.000
1622104288.551, lauv-roald, SmartX, 3.200
1622104289.051, lauv-roald, SmartX, 3.400
1622104289.550, lauv-roald, SmartX, 3.000
1622104290.050, lauv-roald, SmartX, 3.600
1622104290.550, lauv-roald, SmartX, 3.200
1622104291.050, lauv-roald, SmartX, 3.000
1622104291.550, lauv-roald, SmartX, 3.000
1622104292.050, lauv-roald, SmartX, 3.000
1622104292.550, lauv-roald, SmartX, 3.000
1622104293.050, lauv-roald, SmartX, 3.200
1622104293.550, lauv-roald, SmartX, 3.000
1622104294.050, lauv-roald, SmartX, 3.400
1622104294.550, lauv-roald, SmartX, 3.200
1622104295.050, lauv-roald, SmartX, 3.400
1622104295.551, lauv-roald, SmartX, 3.200
1622104296.050, lauv-roald, SmartX, 3.000
1622104296.550, lauv-roald, SmartX, 3.000
1622104297.050, lauv-roald, SmartX, 3.000
1622104297.550, lauv-roald, SmartX, 3.200
1622104298.050, lauv-roald, SmartX, 3.000
1622104298.550, lauv-roald, SmartX, 2.800
1622104299.050, lauv-roald, SmartX, 3.000
1622104299.551, lauv-roald, SmartX, 2.600
1622104300.049, lauv-roald, SmartX, 3.200
1622104300.550, lauv-roald, SmartX, 3.000
1622104301.050, lauv-roald, SmartX, 3.400
1622104301.550, lauv-roald, SmartX, 3.000
1622104302.050, lauv-roald, SmartX, 3.200
1622104302.549, lauv-roald, SmartX, 2.800
1622104303.049, lauv-roald, SmartX, 3.000
1622104303.550, lauv-roald, SmartX, 3.400
1622104304.049, lauv-roald, SmartX, 3.000
1622104304.549, lauv-roald, SmartX, 3.600
1622104305.049, lauv-roald, SmartX, 3.000
1622104305.550, lauv-roald, SmartX, 3.000
1622104306.049, lauv-roald, SmartX, 2.600
1622104306.550, lauv-roald, SmartX, 3.000
1622104307.049, lauv-roald, SmartX, 3.000
1622104307.549, lauv-roald, SmartX, 3.000
1622104308.049, lauv-roald, SmartX, 3.000
1622104308.549, lauv-roald, SmartX, 3.000
1622104309.049, lauv-roald, SmartX, 3.000
1622104309.550, lauv-roald, SmartX, 3.400
1622104310.049, lauv-roald, SmartX, 3.000
1622104310.549, lauv-roald, SmartX, 2.800
1622104311.049, lauv-roald, SmartX, 3.600
1622104311.549, lauv-roald, SmartX, 3.200
1622104312.049, lauv-roald, SmartX, 3.200
1622104312.549, lauv-roald, SmartX, 3.000
1622104313.049, lauv-roald, SmartX, 3.000
1622104313.549, lauv-roald, SmartX, 3.000
1622104314.049, lauv-roald, SmartX, 3.000
1622104314.549, lauv-roald, SmartX, 3.400
1622104315.049, lauv-roald, SmartX, 3.200
1622104315.549, lauv-roald, SmartX, 3.200
1622104316.049, lauv-roald, SmartX, 4.000
1622104316.548, lauv-roald, SmartX, 3.200
1622104317.048, lauv-roald, SmartX, 3.000
1622104317.550, lauv-roald, SmartX, 3.000
1622104318.048, lauv-roald, SmartX, 3.800
1622104318.549, lauv-roald, SmartX, 3.000
1622104319.048, lauv-roald, SmartX, 3.000
1622104319.548, lauv-roald, SmartX, 3.200
1622104320.048, lauv-roald, SmartX, 3.800
1622104320.548, lauv-roald, SmartX, 3.200
1622104321.048, lauv-roald, SmartX, 3.600
1622104321.548, lauv-roald, SmartX, 3.800
1622104322.048, lauv-roald, SmartX, 3.200
1622104322.548, lauv-roald, SmartX, 3.200
1622104323.048, lauv-roald, SmartX, 2.800
1622104323.548, lauv-roald, SmartX, 3.200
1622104324.048, lauv-roald, SmartX, 3.200
1622104324.548, lauv-roald, SmartX, 3.400
1622104325.048, lauv-roald, SmartX, 3.200
1622104325.548, lauv-roald, SmartX, 3.200
1622104326.047, lauv-roald, SmartX, 2.600
1622104326.548, lauv-roald, SmartX, 2.600
1622104327.048, lauv-roald, SmartX, 4.200
1622104327.548, lauv-roald, SmartX, 3.200
1622104328.048, lauv-roald, SmartX, 3.000
1622104328.548, lauv-roald, SmartX, 3.000
1622104329.048, lauv-roald, SmartX, 3.000
1622104329.548, lauv-roald, SmartX, 2.600
1622104330.048, lauv-roald, SmartX, 2.800
1622104330.547, lauv-roald, SmartX, 3.000
1622104331.047, lauv-roald, SmartX, 3.200
1622104331.548, lauv-roald, SmartX, 3.200
1622104332.047, lauv-roald, SmartX, 3.400
1622104332.547, lauv-roald, SmartX, 3.000
1622104333.047, lauv-roald, SmartX, 2.800
1622104333.547, lauv-roald, SmartX, 2.600
1622104334.047, lauv-roald, SmartX, 3.000
1622104334.547, lauv-roald, SmartX, 3.200
1622104335.047, lauv-roald, SmartX, 3.400
1622104335.547, lauv-roald, SmartX, 3.200
1622104336.047, lauv-roald, SmartX, 3.200
1622104336.547, lauv-roald, SmartX, 3.000
1622104337.047, lauv-roald, SmartX, 3.000
1622104337.547, lauv-roald, SmartX, 3.200
1622104338.047, lauv-roald, SmartX, 3.000
1622104338.547, lauv-roald, SmartX, 3.600
1622104339.047, lauv-roald, SmartX, 3.000
1622104339.547, lauv-roald, SmartX, 2.800
1622104340.047, lauv-roald, SmartX, 4.000
1622104340.547, lauv-roald, SmartX, 3.200
1622104341.047, lauv-roald, SmartX, 3.200
1622104341.547, lauv-roald, SmartX, 3.000
1622104342.047, lauv-roald, SmartX, 3.200
1622104342.547, lauv-roald, SmartX, 2.800
1622104343.047, lauv-roald, SmartX, 3.200
1622104343.547, lauv-roald, SmartX, 3.200
1622104344.047, lauv-roald, SmartX, 2.800
1622104344.547, lauv-roald, SmartX, 3.000
1622104345.046, lauv-roald, SmartX, 3.000
1622104345.546, lauv-roald, SmartX, 3.000
1622104346.046, lauv-roald, SmartX, 2.800
1622104346.547, lauv-roald, SmartX, 3.200
1622104347.046, lauv-roald, SmartX, 3.200
1622104347.546, lauv-roald, SmartX, 3.400
1622104348.046, lauv-roald, SmartX, 3.200
1622104348.546, lauv-roald, SmartX, 3.000
1622104349.046, lauv-roald, SmartX, 2.800
1622104349.546, lauv-roald, SmartX, 3.400
1622104350.046, lauv-roald, SmartX, 3.000
1622104350.546, lauv-roald, SmartX, 3.200
1622104351.046, lauv-roald, SmartX, 2.800
1622104351.546, lauv-roald, SmartX, 3.000
1622104352.046, lauv-roald, SmartX, 3.400
1622104352.546, lauv-roald, SmartX, 3.400
1622104353.046, lauv-roald, SmartX, 3.000
1622104353.546, lauv-roald, SmartX, 3.000
1622104354.046, lauv-roald, SmartX, 2.800
1622104354.546, lauv-roald, SmartX, 3.000
1622104355.046, lauv-roald, SmartX, 3.000
1622104355.546, lauv-roald, SmartX, 3.000
1622104356.046, lauv-roald, SmartX, 3.000
1622104356.546, lauv-roald, SmartX, 4.600
1622104357.046, lauv-roald, SmartX, 2.600
1622104357.546, lauv-roald, SmartX, 2.600
1622104358.045, lauv-roald, SmartX, 2.800
1622104358.546, lauv-roald, SmartX, 3.400
1622104359.046, lauv-roald, SmartX, 3.000
1622104359.545, lauv-roald, SmartX, 3.600
1622104360.045, lauv-roald, SmartX, 3.200
1622104360.545, lauv-roald, SmartX, 3.600
1622104361.045, lauv-roald, SmartX, 3.000
1622104361.545, lauv-roald, SmartX, 3.000
1622104362.045, lauv-roald, SmartX, 3.200
1622104362.545, lauv-roald, SmartX, 3.600
1622104363.045, lauv-roald, SmartX, 3.000
1622104363.545, lauv-roald, SmartX, 3.600
1622104364.045, lauv-roald, SmartX, 3.000
1622104364.545, lauv-roald, SmartX, 3.000
1622104365.045, lauv-roald, SmartX, 3.000
1622104365.545, lauv-roald, SmartX, 3.000
