timestamp, system, entity , value (kg/m/m/m)
1622104187.057, lauv-roald, SmartX, 1018.214
1622104187.557, lauv-roald, SmartX, 1018.012
1622104188.057, lauv-roald, SmartX, 1018.214
1622104188.557, lauv-roald, SmartX, 1018.421
1622104189.057, lauv-roald, SmartX, 1018.877
1622104189.557, lauv-roald, SmartX, 1018.771
1622104190.057, lauv-roald, SmartX, 1018.686
1622104190.557, lauv-roald, SmartX, 1018.616
1622104191.057, lauv-roald, SmartX, 1018.602
1622104191.557, lauv-roald, SmartX, 1018.645
1622104192.057, lauv-roald, SmartX, 1018.627
1622104192.557, lauv-roald, SmartX, 1018.562
1622104193.057, lauv-roald, SmartX, 1018.351
1622104193.557, lauv-roald, SmartX, 1018.229
1622104194.057, lauv-roald, SmartX, 1018.072
1622104194.557, lauv-roald, SmartX, 1017.745
1622104195.057, lauv-roald, SmartX, 1017.413
1622104195.557, lauv-roald, SmartX, 1017.318
1622104196.057, lauv-roald, SmartX, 1017.215
1622104196.557, lauv-roald, SmartX, 1017.138
1622104197.057, lauv-roald, SmartX, 1016.961
1622104197.557, lauv-roald, SmartX, 1016.906
1622104198.057, lauv-roald, SmartX, 1016.772
1622104198.557, lauv-roald, SmartX, 1016.651
1622104199.057, lauv-roald, SmartX, 1016.579
1622104199.556, lauv-roald, SmartX, 1016.558
1622104200.057, lauv-roald, SmartX, 1016.620
1622104200.556, lauv-roald, SmartX, 1016.676
1622104201.056, lauv-roald, SmartX, 1016.570
1622104201.556, lauv-roald, SmartX, 1016.614
1622104202.056, lauv-roald, SmartX, 1016.675
1622104202.556, lauv-roald, SmartX, 1016.682
1622104203.056, lauv-roald, SmartX, 1016.745
1622104203.556, lauv-roald, SmartX, 1016.868
1622104204.056, lauv-roald, SmartX, 1017.052
1622104204.556, lauv-roald, SmartX, 1017.268
1622104205.056, lauv-roald, SmartX, 1017.432
1622104205.556, lauv-roald, SmartX, 1017.560
1622104206.056, lauv-roald, SmartX, 1018.217
1622104206.556, lauv-roald, SmartX, 1018.680
1622104207.056, lauv-roald, SmartX, 1018.825
1622104207.556, lauv-roald, SmartX, 1019.012
1622104208.056, lauv-roald, SmartX, 1019.228
1622104208.556, lauv-roald, SmartX, 1019.359
1622104209.056, lauv-roald, SmartX, 1019.309
1622104209.556, lauv-roald, SmartX, 1019.185
1622104210.056, lauv-roald, SmartX, 1019.022
1622104210.556, lauv-roald, SmartX, 1018.999
1622104211.056, lauv-roald, SmartX, 1019.262
1622104211.556, lauv-roald, SmartX, 1019.411
1622104212.055, lauv-roald, SmartX, 1019.604
1622104212.555, lauv-roald, SmartX, 1019.605
1622104213.056, lauv-roald, SmartX, 1019.463
1622104213.556, lauv-roald, SmartX, 1019.212
1622104214.055, lauv-roald, SmartX, 1018.855
1622104214.555, lauv-roald, SmartX, 1018.582
1622104215.055, lauv-roald, SmartX, 1018.575
1622104215.555, lauv-roald, SmartX, 1018.777
1622104216.055, lauv-roald, SmartX, 1018.925
1622104216.555, lauv-roald, SmartX, 1019.008
1622104217.055, lauv-roald, SmartX, 1019.163
1622104217.555, lauv-roald, SmartX, 1019.179
1622104218.055, lauv-roald, SmartX, 1018.774
1622104218.555, lauv-roald, SmartX, 1018.503
1622104219.055, lauv-roald, SmartX, 1017.962
1622104219.555, lauv-roald, SmartX, 1017.638
1622104220.056, lauv-roald, SmartX, 1017.363
1622104220.555, lauv-roald, SmartX, 1017.271
1622104221.055, lauv-roald, SmartX, 1017.272
1622104221.555, lauv-roald, SmartX, 1017.426
1622104222.055, lauv-roald, SmartX, 1018.089
1622104222.555, lauv-roald, SmartX, 1018.570
1622104223.055, lauv-roald, SmartX, 1019.094
1622104223.555, lauv-roald, SmartX, 1019.046
1622104224.055, lauv-roald, SmartX, 1018.654
1622104224.555, lauv-roald, SmartX, 1018.595
1622104225.055, lauv-roald, SmartX, 1018.551
1622104225.555, lauv-roald, SmartX, 1018.630
1622104226.055, lauv-roald, SmartX, 1018.488
1622104226.555, lauv-roald, SmartX, 1018.222
1622104227.055, lauv-roald, SmartX, 1018.096
1622104227.555, lauv-roald, SmartX, 1018.261
1622104228.055, lauv-roald, SmartX, 1018.545
1622104228.555, lauv-roald, SmartX, 1018.635
1622104229.054, lauv-roald, SmartX, 1018.270
1622104229.554, lauv-roald, SmartX, 1018.243
1622104230.054, lauv-roald, SmartX, 1018.246
1622104230.554, lauv-roald, SmartX, 1018.412
1622104231.054, lauv-roald, SmartX, 1018.854
1622104231.554, lauv-roald, SmartX, 1019.053
1622104232.054, lauv-roald, SmartX, 1018.837
1622104232.554, lauv-roald, SmartX, 1018.635
1622104233.054, lauv-roald, SmartX, 1018.491
1622104233.554, lauv-roald, SmartX, 1018.371
1622104234.054, lauv-roald, SmartX, 1018.345
1622104234.554, lauv-roald, SmartX, 1018.554
1622104235.054, lauv-roald, SmartX, 1018.886
1622104235.554, lauv-roald, SmartX, 1019.293
1622104236.054, lauv-roald, SmartX, 1019.290
1622104236.554, lauv-roald, SmartX, 1018.739
1622104237.054, lauv-roald, SmartX, 1018.319
1622104237.554, lauv-roald, SmartX, 1018.009
1622104238.054, lauv-roald, SmartX, 1018.401
1622104238.554, lauv-roald, SmartX, 1018.771
1622104239.054, lauv-roald, SmartX, 1019.228
1622104239.554, lauv-roald, SmartX, 1019.383
1622104240.054, lauv-roald, SmartX, 1019.122
1622104240.554, lauv-roald, SmartX, 1018.723
1622104241.054, lauv-roald, SmartX, 1018.677
1622104241.554, lauv-roald, SmartX, 1018.480
1622104242.054, lauv-roald, SmartX, 1018.350
1622104242.553, lauv-roald, SmartX, 1018.280
1622104243.054, lauv-roald, SmartX, 1018.228
1622104243.553, lauv-roald, SmartX, 1018.172
1622104244.053, lauv-roald, SmartX, 1018.135
1622104244.553, lauv-roald, SmartX, 1018.188
1622104245.053, lauv-roald, SmartX, 1018.519
1622104245.553, lauv-roald, SmartX, 1018.464
1622104246.053, lauv-roald, SmartX, 1018.659
1622104246.553, lauv-roald, SmartX, 1018.864
1622104247.053, lauv-roald, SmartX, 1018.675
1622104247.553, lauv-roald, SmartX, 1018.008
1622104248.053, lauv-roald, SmartX, 1017.754
1622104248.553, lauv-roald, SmartX, 1018.141
1622104249.053, lauv-roald, SmartX, 1018.416
1622104249.553, lauv-roald, SmartX, 1018.641
1622104250.053, lauv-roald, SmartX, 1018.813
1622104250.553, lauv-roald, SmartX, 1018.639
1622104251.053, lauv-roald, SmartX, 1018.045
1622104251.553, lauv-roald, SmartX, 1017.727
1622104252.053, lauv-roald, SmartX, 1016.404
1622104252.553, lauv-roald, SmartX, 1016.073
1622104253.053, lauv-roald, SmartX, 1017.482
1622104253.553, lauv-roald, SmartX, 1017.924
1622104254.053, lauv-roald, SmartX, 1017.554
1622104254.553, lauv-roald, SmartX, 1017.560
1622104255.053, lauv-roald, SmartX, 1017.903
1622104255.553, lauv-roald, SmartX, 1018.466
1622104256.052, lauv-roald, SmartX, 1018.932
1622104256.553, lauv-roald, SmartX, 1019.079
1622104257.053, lauv-roald, SmartX, 1018.849
1622104257.553, lauv-roald, SmartX, 1018.043
1622104258.053, lauv-roald, SmartX, 1017.765
1622104258.553, lauv-roald, SmartX, 1018.192
1622104259.053, lauv-roald, SmartX, 1018.685
1622104259.552, lauv-roald, SmartX, 1018.846
1622104260.052, lauv-roald, SmartX, 1018.861
1622104260.552, lauv-roald, SmartX, 1018.851
1622104261.052, lauv-roald, SmartX, 1018.914
1622104261.552, lauv-roald, SmartX, 1019.064
1622104262.052, lauv-roald, SmartX, 1019.100
1622104262.552, lauv-roald, SmartX, 1018.974
1622104263.052, lauv-roald, SmartX, 1018.805
1622104263.552, lauv-roald, SmartX, 1018.795
1622104264.052, lauv-roald, SmartX, 1019.036
1622104264.553, lauv-roald, SmartX, 1019.285
1622104265.052, lauv-roald, SmartX, 1019.442
1622104265.552, lauv-roald, SmartX, 1019.170
1622104266.052, lauv-roald, SmartX, 1018.952
1622104266.552, lauv-roald, SmartX, 1018.855
