[rosmaster.main][INFO] 2021-11-05 12:48:49,920: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-11-05 12:48:49,920: Starting ROS Master Node
[xmlrpc][INFO] 2021-11-05 12:48:49,922: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-11-05 12:48:49,923: Started XML-RPC server [http://raspberrypi:11311/]
[rosmaster.master][INFO] 2021-11-05 12:48:49,923: Master initialized: port[11311], uri[http://raspberrypi:11311/]
[xmlrpc][INFO] 2021-11-05 12:48:49,924: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-11-05 12:48:50,002: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,005: +PARAM [/roslaunch/uris/host_raspberrypi__40097] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,087: +PARAM [/douro_river/starting_position_lon] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,087: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,087: +PARAM [/douro_river/ocean_salinity] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,088: +PARAM [/douro_river/max_depth] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,088: +PARAM [/imc_bridge/bridge_addr] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,088: +PARAM [/douro_river/popup_interval] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,088: +PARAM [/douro_river/starting_position_lat] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,089: +PARAM [/imc_bridge/bridge_port] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,089: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,089: +PARAM [/douro_river/desired_speed] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,089: +PARAM [/douro_river/phone_number] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,090: +PARAM [/douro_river/seconds_on_surface] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,090: +PARAM [/douro_river/river_salinity] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,090: +PARAM [/douro_river/mission_length] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,090: +PARAM [/douro_river/iridium_destination] by /roslaunch
[rosmaster.master][INFO] 2021-11-05 12:48:50,502: +SERVICE [/rosout/get_loggers] /rosout http://raspberrypi:44379/
[rosmaster.master][INFO] 2021-11-05 12:48:50,504: +SERVICE [/rosout/set_logger_level] /rosout http://raspberrypi:44379/
[rosmaster.master][INFO] 2021-11-05 12:48:50,507: +PUB [/rosout_agg] /rosout http://raspberrypi:44379/
[rosmaster.master][INFO] 2021-11-05 12:48:50,514: +SUB [/rosout] /rosout http://raspberrypi:44379/
[rosmaster.master][INFO] 2021-11-05 12:48:51,006: +PUB [/rosout] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,009: +SERVICE [/imc_bridge/get_loggers] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,012: +SERVICE [/imc_bridge/set_logger_level] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,024: publisherUpdate[/rosout] -> http://raspberrypi:44379/ ['http://raspberrypi:38779/']
[rosmaster.master][INFO] 2021-11-05 12:48:51,037: +CACHEDPARAM [/rosout_disable_topics_generation] by /imc_bridge
[rosmaster.master][INFO] 2021-11-05 12:48:51,039: publisherUpdate[/rosout] -> http://raspberrypi:44379/ ['http://raspberrypi:38779/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2021-11-05 12:48:51,052: +SUB [/IMC/In/EntityList] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,066: +SUB [/IMC/In/LogBookEntry] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,078: +SUB [/IMC/In/Sms] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,091: +SUB [/IMC/In/IridiumMsgTx] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,103: +SUB [/IMC/In/FollowReference] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,116: +SUB [/IMC/In/Reference] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,129: +SUB [/IMC/In/ReportControl] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,133: +PUB [/IMC/Out/EntityState] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,138: +PUB [/IMC/Out/EntityList] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,141: +PUB [/IMC/Out/Heartbeat] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,145: +PUB [/IMC/Out/IridiumTxStatus] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,149: +PUB [/IMC/Out/Temperature] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,152: +PUB [/IMC/Out/Depth] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,156: +PUB [/IMC/Out/Salinity] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,159: +PUB [/IMC/Out/Chlorophyll] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,162: +PUB [/IMC/Out/EstimatedState] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,166: +PUB [/IMC/Out/FollowRefState] /imc_bridge http://raspberrypi:38779/
[rosmaster.master][INFO] 2021-11-05 12:48:51,169: +PUB [/IMC/Out/VehicleState] /imc_bridge http://raspberrypi:38779/
