,depths
0,"[-196.90762983903406, -1131.9447657506237, 1632131274.5080848, 3.4788762951138046]"
1,"[-239.7866323688923, -1115.4425127571635, 1632131306.5064285, 3.4928591179125235]"
2,"[-312.7407324064252, -1080.7125229379399, 1632131355.5077732, 3.9190795370424634]"
3,"[-353.8777169268439, -1062.1305535850056, 1632131402.5074258, 3.5872062679493064]"
4,"[-423.9862980604148, -1028.621565940335, 1632131450.5066085, 3.664436309626608]"
5,"[-465.26474959962417, -1009.9411547981366, 1632131499.5074525, 4.642110982025512]"
6,"[-536.9474562803432, -975.7356073583305, 1632131546.5066023, 0.0]"
7,"[-577.127790452172, -957.5950012317618, 1632131595.5073197, 2.576032559076945]"
8,"[-648.9611316761074, -923.3061465701142, 1632131643.506635, 1.1143990962794332]"
9,"[-690.4988153972129, -904.5172781892406, 1632131691.5063765, 3.5860711552880025]"
10,"[-761.0624138377723, -870.8372924510887, 1632131739.5077784, 4.820644178173758]"
11,"[-802.7022609737581, -851.9923868966387, 1632131788.5064616, 4.751354000484101]"
12,"[-873.3817438455989, -818.2575557162605, 1632131835.50776, 4.091075791252984]"
13,"[-914.289216437676, -799.7598553797013, 1632131884.5064714, 6.967623369260267]"
14,"[-985.3890394308103, -765.8320832997398, 1632131932.5077646, 2.614004920227359]"
15,"[-1026.8599671286886, -747.1177401249225, 1632131981.5064578, 2.6707428055580213]"
16,"[-1065.6184096750324, -750.4134289277774, 1632132029.5077808, 6.86577978760305]"
17,"[-1048.4167365046062, -792.1524628385133, 1632132079.5064561, 4.854098230600357]"
18,"[-1021.969787049984, -866.7924460157479, 1632132127.507778, 4.7663455551320855]"
19,"[-1005.769452667429, -909.5338439425457, 1632132175.5064447, 1.0345574220021567]"
20,"[-979.8520092274248, -982.8553909873102, 1632132223.5077555, 6.876619031935027]"
21,"[-963.970110923464, -1024.925979412334, 1632132272.5064402, 0.5342364079422421]"
22,"[-937.4216114784756, -1099.8916997882202, 1632132320.5077543, 0.4014543496599101]"
23,"[-921.5390133776664, -1141.9653136890647, 1632132369.5063627, 2.6109833729387533]"
24,"[-895.0284355425234, -1216.8134140856203, 1632132417.507682, 3.0511919841019797]"
25,"[-879.1786366850107, -1258.7763312541388, 1632132466.5064595, 2.618219157059987]"
26,"[-852.5277365826869, -1334.025821880289, 1632132514.5076613, 0.0]"
27,"[-836.4573913414736, -1376.6053494402745, 1632132563.5064561, 0.0]"
28,"[-810.147899081819, -1450.8982440745845, 1632132611.5077362, 0.0]"
29,"[-794.0837824325814, -1493.4844583117097, 1632132660.5064695, 0.0]"
30,"[-767.9300358907194, -1567.3188397532308, 1632132707.5065858, 0.0]"
31,"[-752.2753045252093, -1608.729034370865, 1632132756.5074253, 0.0]"
32,"[-702.2510190494115, -1720.8920992623778, 1632132862.5062463, 0.0]"
33,"[-683.1886812632698, -1720.5653988975434, 1632132872.5062325, 0.0]"
34,"[-666.776859770813, -1720.848332404765, 1632132882.5069818, 0.0]"
35,"[-652.1783508781082, -1717.261248053176, 1632132893.5061593, 0.0]"
36,"[-640.3584739471173, -1705.9069182546573, 1632132905.5070224, 0.0]"
37,"[-628.4877345401305, -1694.6388582715122, 1632132917.5062642, 0.0]"
38,"[-617.5356608552963, -1684.2162169488765, 1632132928.5062988, 0.0]"
39,"[-607.7863532807047, -1674.927314355533, 1632132938.5062444, 0.0]"
40,"[-599.1046134735853, -1666.6472258820056, 1632132947.5067976, 0.0]"
41,"[-591.0035906824882, -1658.9132551740468, 1632132956.5070436, 0.0]"
42,"[-583.4083148743906, -1651.6561294287105, 1632132964.506889, 0.0]"
43,"[-576.3241073395731, -1644.8815142528865, 1632132972.5068774, 0.0]"
44,"[-568.8123743196979, -1637.69242636498, 1632132981.5062346, 0.0]"
